source,target,method,value_mean,value_sd,value_median,metric
hungary,cleveland,pseudo_label_sfda,0.7116503845644215,0.05177413487246956,0.7054130224322741,patient_l1_drift_mean
hungary,cleveland,reliability_gated_sfda,0.08000435315323125,0.006196526634758403,0.08268700829720918,patient_l1_drift_mean
hungary,switzerland,conservative_candidate,0.017123478076207656,0.0031934938091659052,0.017192494621416324,patient_l1_drift_mean
hungary,switzerland,entropy_sfda,0.28608560393374016,0.018232037219419406,0.28641546676233454,patient_l1_drift_mean
hungary,switzerland,pseudo_label_sfda,0.15060581620787122,0.03651342547793172,0.140149889688573,patient_l1_drift_mean
hungary,switzerland,reliability_gated_sfda,0.06352311065479478,0.0036493551274705822,0.06322733019109866,patient_l1_drift_mean
hungary,va_long_beach,conservative_candidate,0.017460538002278782,0.0020160932940933443,0.017500294704659608,patient_l1_drift_mean
hungary,va_long_beach,entropy_sfda,0.49113589796765716,0.027038660529324843,0.49560047417567715,patient_l1_drift_mean
hungary,va_long_beach,pseudo_label_sfda,0.28255632442055323,0.037040171239881986,0.2873295007695742,patient_l1_drift_mean
hungary,va_long_beach,reliability_gated_sfda,0.07075245041669245,0.00502598884037119,0.06987027044873687,patient_l1_drift_mean
switzerland,cleveland,conservative_candidate,0.0,0.0,0.0,patient_l1_drift_mean
switzerland,cleveland,entropy_sfda,0.2855708847601893,0.07506290521717486,0.2903210962905468,patient_l1_drift_mean
switzerland,cleveland,pseudo_label_sfda,0.3801686579944283,0.0851139840754668,0.39319005522985706,patient_l1_drift_mean
switzerland,cleveland,reliability_gated_sfda,0.0,0.0,0.0,patient_l1_drift_mean
switzerland,hungary,conservative_candidate,0.0,0.0,0.0,patient_l1_drift_mean
switzerland,hungary,entropy_sfda,0.2898110081827877,0.07127878246706236,0.28076463989109346,patient_l1_drift_mean
switzerland,hungary,pseudo_label_sfda,0.3336228635514342,0.07670952266072148,0.34425555154971677,patient_l1_drift_mean
switzerland,hungary,reliability_gated_sfda,0.0,0.0,0.0,patient_l1_drift_mean
switzerland,va_long_beach,conservative_candidate,0.0,0.0,0.0,patient_l1_drift_mean
switzerland,va_long_beach,entropy_sfda,0.16023201399001663,0.034227079950882956,0.1579304344702541,patient_l1_drift_mean
switzerland,va_long_beach,pseudo_label_sfda,0.34189499467725365,0.06000479986832145,0.3483945103021688,patient_l1_drift_mean
switzerland,va_long_beach,reliability_gated_sfda,0.0,0.0,0.0,patient_l1_drift_mean
va_long_beach,cleveland,conservative_candidate,0.014779074979317672,0.003958933035321647,0.013996093038442774,patient_l1_drift_mean
va_long_beach,cleveland,entropy_sfda,0.35354107727220246,0.12075407271081906,0.34564649769903955,patient_l1_drift_mean
va_long_beach,cleveland,pseudo_label_sfda,0.044750813967422746,0.032137297176406655,0.05306889782519592,patient_l1_drift_mean
va_long_beach,cleveland,reliability_gated_sfda,0.029066312337283802,0.01334845299037442,0.031051369570874343,patient_l1_drift_mean
va_long_beach,hungary,conservative_candidate,0.015505176630314718,0.004119780611557521,0.014872457755526439,patient_l1_drift_mean
va_long_beach,hungary,entropy_sfda,0.346046916390531,0.10575457721092497,0.3621076289849462,patient_l1_drift_mean
va_long_beach,hungary,pseudo_label_sfda,0.014647742241477534,0.019096967152781242,0.0,patient_l1_drift_mean
va_long_beach,hungary,reliability_gated_sfda,0.03200909160445909,0.009643909673368978,0.03543673222259412,patient_l1_drift_mean
va_long_beach,switzerland,conservative_candidate,0.00591371025877806,0.005673426176876735,0.0059501165332169845,patient_l1_drift_mean
va_long_beach,switzerland,entropy_sfda,0.10016326879910338,0.0325600711448822,0.0999089153975016,patient_l1_drift_mean
va_long_beach,switzerland,pseudo_label_sfda,0.0,0.0,0.0,patient_l1_drift_mean
va_long_beach,switzerland,reliability_gated_sfda,0.010906567415603478,0.010381350418003933,0.011248413774550926,patient_l1_drift_mean
cleveland,hungary,conservative_candidate,0.009022312540679037,0.0018928519557956849,0.00982019564997695,patient_l2_drift_mean
cleveland,hungary,entropy_sfda,0.33758391379719055,0.018904103871241962,0.3407047519279809,patient_l2_drift_mean
cleveland,hungary,pseudo_label_sfda,0.34199371080145113,0.03273143828720151,0.35482069401109534,patient_l2_drift_mean
cleveland,hungary,reliability_gated_sfda,0.034112740545254205,0.002049724674326192,0.03471945680292282,patient_l2_drift_mean
cleveland,switzerland,conservative_candidate,0.010384973791749953,0.0019390885074948322,0.010999752611313036,patient_l2_drift_mean
cleveland,switzerland,entropy_sfda,0.08782364078414276,0.009735165305408414,0.08781187464479182,patient_l2_drift_mean
cleveland,switzerland,pseudo_label_sfda,0.06576960117427841,0.015757151405618536,0.06466540039030753,patient_l2_drift_mean
cleveland,switzerland,reliability_gated_sfda,0.025862252543686803,0.003615513577318843,0.02571649798742514,patient_l2_drift_mean
cleveland,va_long_beach,conservative_candidate,0.010440775832610888,0.002681810851495469,0.010725499427651898,patient_l2_drift_mean
cleveland,va_long_beach,entropy_sfda,0.1331424472812125,0.014666413535959232,0.13279697065839574,patient_l2_drift_mean
cleveland,va_long_beach,pseudo_label_sfda,0.11027944195990654,0.015478644245026625,0.11322242346446212,patient_l2_drift_mean
cleveland,va_long_beach,reliability_gated_sfda,0.026378224573086816,0.00293807844980906,0.027041795678032197,patient_l2_drift_mean
hungary,cleveland,conservative_candidate,0.00967229939071873,0.0014730225611506843,0.010196301766330828,patient_l2_drift_mean
hungary,cleveland,entropy_sfda,0.3640760034274068,0.03141485942141148,0.3684523264669891,patient_l2_drift_mean
hungary,cleveland,pseudo_label_sfda,0.34272650996016185,0.019665977408453973,0.3481424542176857,patient_l2_drift_mean
hungary,cleveland,reliability_gated_sfda,0.03688058665633302,0.0028346481319747735,0.037709832630828624,patient_l2_drift_mean
hungary,switzerland,conservative_candidate,0.008640943443829267,0.0017848309342819208,0.008662438521613896,patient_l2_drift_mean
hungary,switzerland,entropy_sfda,0.14200587559722364,0.008822991729198617,0.1416171954956486,patient_l2_drift_mean
hungary,switzerland,pseudo_label_sfda,0.07415920677973808,0.018118244689338578,0.06797732289368733,patient_l2_drift_mean
hungary,switzerland,reliability_gated_sfda,0.03276716494740371,0.0016547845515286906,0.03294132630551186,patient_l2_drift_mean
hungary,va_long_beach,conservative_candidate,0.008639661730413497,0.0010273419813591994,0.008764231813316366,patient_l2_drift_mean
hungary,va_long_beach,entropy_sfda,0.2546642613881274,0.013391896191190038,0.25685958580496204,patient_l2_drift_mean
hungary,va_long_beach,pseudo_label_sfda,0.13918349286031767,0.01747542441494238,0.1398122529418972,patient_l2_drift_mean
hungary,va_long_beach,reliability_gated_sfda,0.03555468834405765,0.0022776363011093423,0.03584123793545327,patient_l2_drift_mean
switzerland,cleveland,conservative_candidate,0.0,0.0,0.0,patient_l2_drift_mean
switzerland,cleveland,entropy_sfda,0.13488210798786765,0.033431138911516535,0.13429146503923944,patient_l2_drift_mean
switzerland,cleveland,pseudo_label_sfda,0.18473271281578627,0.0388255485313055,0.1864927879040131,patient_l2_drift_mean
switzerland,cleveland,reliability_gated_sfda,0.0,0.0,0.0,patient_l2_drift_mean
switzerland,hungary,conservative_candidate,0.0,0.0,0.0,patient_l2_drift_mean
switzerland,hungary,entropy_sfda,0.14013826219785766,0.030859452076310086,0.1359604333556151,patient_l2_drift_mean
switzerland,hungary,pseudo_label_sfda,0.1692791943202058,0.03324986766304475,0.17151007016746764,patient_l2_drift_mean
switzerland,hungary,reliability_gated_sfda,0.0,0.0,0.0,patient_l2_drift_mean
switzerland,va_long_beach,conservative_candidate,0.0,0.0,0.0,patient_l2_drift_mean
switzerland,va_long_beach,entropy_sfda,0.08014543617968457,0.017431235267287556,0.08012291194594612,patient_l2_drift_mean
switzerland,va_long_beach,pseudo_label_sfda,0.16866064187408836,0.030645601173218438,0.17274429385791343,patient_l2_drift_mean
switzerland,va_long_beach,reliability_gated_sfda,0.0,0.0,0.0,patient_l2_drift_mean
va_long_beach,cleveland,conservative_candidate,0.007029055957955927,0.0022120843305806826,0.006441897720495922,patient_l2_drift_mean
va_long_beach,cleveland,entropy_sfda,0.17014398127131108,0.060247383654376804,0.1657434437727941,patient_l2_drift_mean
va_long_beach,cleveland,pseudo_label_sfda,0.021319837773423025,0.015363667374451091,0.025107553837488722,patient_l2_drift_mean
va_long_beach,cleveland,reliability_gated_sfda,0.013989711333264576,0.005923717829990195,0.015459640203736177,patient_l2_drift_mean
va_long_beach,hungary,conservative_candidate,0.007672768010293535,0.002210551082855867,0.007463947992101619,patient_l2_drift_mean
va_long_beach,hungary,entropy_sfda,0.16944248795114547,0.053346778333527245,0.17253890460286875,patient_l2_drift_mean
va_long_beach,hungary,pseudo_label_sfda,0.006967439986345257,0.00911902869115341,0.0,patient_l2_drift_mean
va_long_beach,hungary,reliability_gated_sfda,0.014907910933801342,0.004227382971170685,0.016575191420384,patient_l2_drift_mean
va_long_beach,switzerland,conservative_candidate,0.0028223061290722357,0.002726517776774395,0.0028171166591923246,patient_l2_drift_mean
va_long_beach,switzerland,entropy_sfda,0.04844550776363663,0.014752519762542096,0.049130037363070395,patient_l2_drift_mean
va_long_beach,switzerland,pseudo_label_sfda,0.0,0.0,0.0,patient_l2_drift_mean
va_long_beach,switzerland,reliability_gated_sfda,0.00554670401266251,0.005204003066555966,0.0060003455467918555,patient_l2_drift_mean
cleveland,hungary,conservative_candidate,0.9999850310192417,5.3679938694526356e-06,0.9999840868151306,patient_cosine_similarity_mean
