condition,method_scope,metric,n_condition_true,n_condition_false,mean_condition_true,mean_condition_false,median_condition_true,median_condition_false,mean_difference_true_minus_false
negative_adaptation_auc,pseudo_label_sfda,patient_cosine_similarity_mean,39,81,0.9985749239385178,0.9982467600010242,0.9996069585124054,0.9992313159709442,0.0003281639374935752
negative_adaptation_auc,pseudo_label_sfda,patient_top3_overlap_mean,39,81,0.9716090891740322,0.9739999832748177,0.983739837398374,0.985,-0.0023908941007855233
negative_adaptation_auc,pseudo_label_sfda,mean_absolute_probability_shift,39,81,0.027087200420503336,0.024758795366823447,0.0232188773712491,0.028350038062781,0.002328405053679889
negative_adaptation_auc,entropy_sfda,global_importance_spearman,60,60,0.9662698412698413,0.9710317460317461,0.9761904761904764,0.9761904761904764,-0.004761904761904856
negative_adaptation_auc,entropy_sfda,global_top3_overlap_fraction,60,60,0.9388888888888888,0.9222222222222222,1.0,1.0,0.016666666666666607
negative_adaptation_auc,entropy_sfda,global_importance_relative_l1_drift,60,60,0.17569623611798474,0.15739553403856507,0.17915767361189172,0.11923663936819705,0.018300702079419667
negative_adaptation_auc,entropy_sfda,patient_l1_drift_mean,60,60,0.40509485754013996,0.31293974395306245,0.3107618475425967,0.2598291717172469,0.09215511358707751
negative_adaptation_auc,entropy_sfda,patient_l2_drift_mean,60,60,0.1900406525419928,0.15370833506247494,0.15156135467869486,0.1299097016894718,0.036332317479517845
negative_adaptation_auc,entropy_sfda,patient_cosine_similarity_mean,60,60,0.9935900489559156,0.9936745405910403,0.9967735010975523,0.997339787223838,-8.449163512469493e-05
negative_adaptation_auc,entropy_sfda,patient_top3_overlap_mean,60,60,0.9426475896054843,0.9511387711112244,0.9455445544554456,0.9574312431243124,-0.00849118150574002
negative_adaptation_auc,entropy_sfda,mean_absolute_probability_shift,60,60,0.05002802761535567,0.04423326797379102,0.047468341478355644,0.03499805987411275,0.005794759641564652
negative_adaptation_auc,reliability_gated_sfda,global_importance_spearman,29,91,0.9967159277504106,0.9968602825745683,1.0,1.0,-0.00014435482415764422
negative_adaptation_auc,reliability_gated_sfda,global_top3_overlap_fraction,29,91,1.0,1.0,1.0,1.0,0.0
negative_adaptation_auc,reliability_gated_sfda,global_importance_relative_l1_drift,29,91,0.020947841227328276,0.015039481624566853,0.0229612253861955,0.021155311363582,0.0059083596027614226
negative_adaptation_auc,reliability_gated_sfda,patient_l1_drift_mean,29,91,0.05643346789912081,0.03442133828656736,0.0673342198952923,0.0354722399677261,0.022012129612553444
negative_adaptation_auc,reliability_gated_sfda,patient_l2_drift_mean,29,91,0.026507748660468098,0.0163876387663948,0.0329387149417717,0.0165903143685093,0.010120109894073297
negative_adaptation_auc,reliability_gated_sfda,patient_cosine_similarity_mean,29,91,0.9999600016082508,0.9999620270554408,0.9999716600160984,0.9999805466391216,-2.0254471899683324e-06
negative_adaptation_auc,reliability_gated_sfda,patient_top3_overlap_mean,29,91,0.9950903678788949,0.9965944555307519,0.994579945799458,0.9983333333333334,-0.0015040876518569446
negative_adaptation_auc,reliability_gated_sfda,mean_absolute_probability_shift,29,91,0.0039966333191881484,0.002554699803199504,0.0042505599035672,0.0034242333358663,0.0014419335159886445
negative_adaptation_auc,conservative_candidate,global_importance_spearman,42,78,0.9988662131519274,0.9996947496947498,1.0,1.0,-0.0008285365428224445
negative_adaptation_auc,conservative_candidate,global_top3_overlap_fraction,42,78,1.0,1.0,1.0,1.0,0.0
negative_adaptation_auc,conservative_candidate,global_importance_relative_l1_drift,42,78,0.007940753462776874,0.0034994493679781935,0.006296734849564001,0.00291232677916465,0.004441304094798681
negative_adaptation_auc,conservative_candidate,patient_l1_drift_mean,42,78,0.01760413734080064,0.010238106561298924,0.0177132768318405,0.0129475874594068,0.007366030779501716
negative_adaptation_auc,conservative_candidate,patient_l2_drift_mean,42,78,0.00853132847496739,0.004935066311853799,0.0086897458089914,0.00616659976255465,0.0035962621631135906
negative_adaptation_auc,conservative_candidate,patient_cosine_similarity_mean,42,78,0.9999702303358272,0.9999866645936484,0.999978442121594,0.9999905178458162,-1.6434257821162923e-05
negative_adaptation_auc,conservative_candidate,patient_top3_overlap_mean,42,78,0.9960087114924013,0.9983786573224079,0.9966326530612245,1.0,-0.0023699458300066034
negative_adaptation_auc,conservative_candidate,mean_absolute_probability_shift,42,78,0.002018740724555686,0.0011837084763958268,0.00198921646633895,0.0011306586099032,0.0008350322481598593
brier_worsened,ALL,global_importance_spearman,253,227,0.9818370035761341,0.9945458359555276,1.0,1.0,-0.012708832379393464
brier_worsened,ALL,global_top3_overlap_fraction,253,227,0.9604743083003953,0.9926578560939794,1.0,1.0,-0.03218354779358412
brier_worsened,ALL,global_importance_relative_l1_drift,253,227,0.11744345337684416,0.03505238709756695,0.0945581417200889,0.0074554822285754,0.0823910662792772
brier_worsened,ALL,patient_l1_drift_mean,253,227,0.2388880717382783,0.10221154319449581,0.2018875291772922,0.0197946107183815,0.13667652854378248
brier_worsened,ALL,patient_l2_drift_mean,253,227,0.1155509547521354,0.046892142793848256,0.0981084889426988,0.0097812798331176,0.06865881195828716
brier_worsened,ALL,patient_cosine_similarity_mean,253,227,0.996508314422729,0.9996245614037259,0.9992161124789208,0.9999785843447476,-0.003116246980996884
brier_worsened,ALL,patient_top3_overlap_mean,253,227,0.9673836772298001,0.9908347211565006,0.985,0.9966996699669968,-0.0234510439267005
