source,target,seed,method,global_importance_spearman,global_top3_overlap_fraction,global_top3_jaccard,global_importance_l1_drift,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l1_drift_median,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_cosine_similarity_median,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,hungary,8,pseudo_label_sfda,1.0,1.0,1.0,0.8782096919445257,0.24617858204181062,0.8818556984488972,0.8727980097173715,0.37127837320519536,0.9989399635566124,0.9991997479761663,0.9716553287981861,0.04427419409874928
cleveland,hungary,8,entropy_sfda,1.0,1.0,1.0,0.8602634648294316,0.2411479193370847,0.867761205358757,0.8599932128563523,0.3604631571233214,0.997624512177524,0.9981675753892795,0.9512471655328799,0.05386036137106265
cleveland,hungary,8,reliability_gated_sfda,1.0,1.0,1.0,0.08273835086182942,0.023193105339732012,0.08308179760993249,0.08150600083172302,0.035473028330601966,0.9999824836577886,0.9999852800603526,0.9988662131519274,0.004429104701508165
cleveland,hungary,8,conservative_candidate,1.0,1.0,1.0,0.015150071744217702,0.0042468481207092,0.018302255714008092,0.017200579401105694,0.00883801084140226,0.9999868772014379,0.9999901829817585,0.9988662131519274,0.0018820593760786038
cleveland,hungary,9,pseudo_label_sfda,1.0,1.0,1.0,0.8268838113445676,0.2495673455132258,0.8319277286833052,0.8069954877719283,0.3543880369288795,0.9986615309303496,0.9989965687398756,0.9625850340136054,0.04516911225830566
cleveland,hungary,9,entropy_sfda,0.9761904761904763,0.6666666666666666,0.5,0.7959497357678257,0.24023092481944108,0.808387146477483,0.7635402046144008,0.3403941683637945,0.99603143633141,0.9968723573971836,0.9342403628117915,0.05986345386240302
cleveland,hungary,9,reliability_gated_sfda,1.0,1.0,1.0,0.08166819697283156,0.02464882593144353,0.08244971323225388,0.0795399597845971,0.03549750455596474,0.999977523593001,0.9999837014913155,0.9965986394557823,0.004587482499452878
cleveland,hungary,9,conservative_candidate,1.0,1.0,1.0,0.018472804204239204,0.005575400855824027,0.022220722728505497,0.021344535518437617,0.010262359537551672,0.9999818915248846,0.9999883619113248,0.9965986394557823,0.003126213355560078
cleveland,switzerland,0,pseudo_label_sfda,1.0,1.0,1.0,0.17532514562646712,0.06212544062160277,0.18672519274826382,0.16762784961611027,0.09030555707386229,0.9994791896519836,0.9996012758159375,0.989159891598916,0.023888979576588646
cleveland,switzerland,0,entropy_sfda,1.0,1.0,1.0,0.15513256982269855,0.05497031940603618,0.1854352734815443,0.1666024504229426,0.09430894843402755,0.9990601463299326,0.9991572793465464,0.989159891598916,0.029789778381222633
cleveland,switzerland,0,reliability_gated_sfda,1.0,1.0,1.0,0.06291032648283078,0.022291906494243032,0.06565547852884132,0.06139684363733962,0.029675409679391244,0.9999490660563691,0.9999631155826809,0.997289972899729,0.004200557943403238
cleveland,switzerland,0,conservative_candidate,1.0,1.0,1.0,0.010774027400960465,0.0038177136380649706,0.017336105273816925,0.015811127610504204,0.00812830702038432,0.9999872416093704,0.9999897266605359,1.0,0.0022950443795056825
cleveland,switzerland,1,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.12136377658902259,0.051660211306380766,0.13118276084565966,0.11852932255715119,0.06388896211279405,0.9998050791793218,0.9998788799552961,0.981029810298103,0.02086301794563368
cleveland,switzerland,1,entropy_sfda,0.9761904761904763,1.0,1.0,0.18375161362384118,0.07821647821525261,0.18882832845116443,0.1541915526613593,0.08929332497247496,0.9995641583504428,0.9996476514029177,0.989159891598916,0.03400072247940835
cleveland,switzerland,1,reliability_gated_sfda,1.0,1.0,1.0,0.05178127192600619,0.022041432168588268,0.05690301257295428,0.052232390735298576,0.0255523065446226,0.9999540842578386,0.9999729379790452,0.9972899728997289,0.003853051037323185
cleveland,switzerland,1,conservative_candidate,1.0,1.0,1.0,0.011618689759785902,0.004945659940415142,0.014675776660631624,0.012922180816531036,0.006858879065459304,0.9999876409898001,0.9999923965512834,0.994579945799458,0.0016430365603144661
cleveland,switzerland,2,pseudo_label_sfda,1.0,1.0,1.0,0.17169688283361684,0.06574971922987487,0.1784751429795136,0.15360573865473282,0.0846886837559739,0.9996069585124054,0.9997338677573638,0.991869918699187,0.018008848841536813
cleveland,switzerland,2,entropy_sfda,0.9761904761904763,1.0,1.0,0.14809654068298314,0.05671218841088592,0.17569391958451475,0.14642815664410588,0.09005083894331559,0.9989983320802782,0.999187346517311,0.970189701897019,0.029193301791158626
cleveland,switzerland,2,reliability_gated_sfda,1.0,1.0,1.0,0.06679374326684896,0.025578040751988603,0.0691246447239518,0.06471972167491907,0.030657987904557978,0.9999261393152257,0.9999455508429637,0.991869918699187,0.0044315831766017005
cleveland,switzerland,2,conservative_candidate,1.0,1.0,1.0,0.018287656146832337,0.007003087284886338,0.02195583047710617,0.019326673820614593,0.010403913065863862,0.9999823051116002,0.9999857560225102,1.0,0.003009560313530081
cleveland,switzerland,3,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.10805712054352044,0.04230867392485716,0.1263416273128033,0.10978391021490103,0.060517879650208384,0.9997060821566539,0.999785979671041,0.989159891598916,0.019861484370459394
cleveland,switzerland,3,entropy_sfda,0.9285714285714287,1.0,1.0,0.1482229935553312,0.058035215735486805,0.170164794269741,0.1395983166294172,0.08271471162672031,0.9993338282314308,0.9994770864799767,0.981029810298103,0.02384855046989472
cleveland,switzerland,3,reliability_gated_sfda,1.0,1.0,1.0,0.05247734177609677,0.020546973031304764,0.05616594923847559,0.05326148448511967,0.025880689430227675,0.9999559998795079,0.9999752948003474,0.997289972899729,0.0038884104176507795
cleveland,switzerland,3,conservative_candidate,1.0,1.0,1.0,0.021611860299499963,0.008461905571071033,0.02407355876227774,0.019370965659618627,0.01181685731747697,0.9999864156825072,0.9999897693547034,1.0,0.002607519488509101
cleveland,switzerland,4,pseudo_label_sfda,1.0,1.0,1.0,0.14605303139990616,0.05193405347703817,0.1582180375535097,0.1422327141044661,0.07923456535916372,0.9996141389461732,0.9997638546431887,0.9891598915989159,0.030654516707106335
cleveland,switzerland,4,entropy_sfda,1.0,1.0,1.0,0.1755808874382431,0.062433672963595845,0.19446185093363422,0.1855820663622582,0.09986915352885574,0.9995029448074031,0.9995708228093984,0.983739837398374,0.03210425429894188
cleveland,switzerland,4,reliability_gated_sfda,1.0,1.0,1.0,0.054850153762426475,0.01950381167318553,0.06168208563835428,0.06033767154440275,0.027877302950474896,0.9999315735705232,0.9999605091342231,0.994579945799458,0.0036387958874305095
cleveland,switzerland,4,conservative_candidate,1.0,1.0,1.0,0.012823970794958874,0.004559992892100956,0.018182599030807038,0.014859797200187957,0.008758007674506683,0.9999836532322738,0.9999900281362365,0.9972899728997289,0.003359479981103562
cleveland,switzerland,5,pseudo_label_sfda,1.0,1.0,1.0,0.07348849685253128,0.030658440107090172,0.0912132739350654,0.07888959161937234,0.04471912416921244,0.9997818633438736,0.9998300256028924,0.994579945799458,0.01688254756353251
cleveland,switzerland,5,entropy_sfda,1.0,1.0,1.0,0.12085194313166109,0.05041785067073225,0.14583836957704413,0.12017684709280715,0.07012197698890493,0.9993424800515952,0.9994727663992803,0.986449864498645,0.02064704471002749
cleveland,switzerland,5,reliability_gated_sfda,1.0,1.0,1.0,0.03497914802443949,0.014592843242613975,0.040268733534806714,0.035165644716471406,0.01835184582149043,0.999946401124008,0.9999641295768265,0.994579945799458,0.0029266922151654716
cleveland,switzerland,5,conservative_candidate,1.0,1.0,1.0,0.019802064515131612,0.008261162425898588,0.022822693943867555,0.01795182004570953,0.011796681769047612,0.9999847330306073,0.9999895670261286,1.0,0.0019665272618696896
cleveland,switzerland,6,pseudo_label_sfda,0.9523809523809524,1.0,1.0,0.08947703356422089,0.03995743694092379,0.09110407107410293,0.07880918739829204,0.04226036743172629,0.9999222483051722,0.9999518422987715,0.9864498644986449,0.008778450525994226
cleveland,switzerland,6,entropy_sfda,0.9047619047619048,1.0,1.0,0.16814856018186777,0.07508949752286764,0.17187449520636477,0.1455943882465361,0.08056602285645863,0.9995837044698723,0.9997247128145886,0.9864498644986449,0.019903793658425175
cleveland,switzerland,6,reliability_gated_sfda,0.9523809523809524,1.0,1.0,0.04919034579193332,0.021966755733723413,0.050650731454096064,0.04679127363488028,0.02312230939719781,0.9999716600160985,0.9999832454643219,1.0,0.003955590455391547
cleveland,switzerland,6,conservative_candidate,0.9761904761904763,1.0,1.0,0.017395664788370846,0.007768319435041262,0.01953857693297323,0.017299769446253898,0.009781279833117657,0.9999900547472038,0.9999933508029208,0.9972899728997289,0.0016255428242247286
cleveland,switzerland,7,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.1289745211590373,0.05811137997267719,0.138734034337605,0.11865392094477972,0.06544183866782102,0.9997063543340918,0.9998521506640903,0.991869918699187,0.013302803122839796
cleveland,switzerland,7,entropy_sfda,0.9523809523809524,1.0,1.0,0.19692231151956796,0.08872626288490527,0.21329029070069572,0.17548141907900577,0.10299704953891872,0.9988897921765235,0.9991651989731927,0.964769647696477,0.024263300448353214
cleveland,switzerland,7,reliability_gated_sfda,1.0,1.0,1.0,0.04709794240666754,0.02122067523515164,0.051563074493333985,0.04548844508826741,0.023975867558271052,0.9999220557370484,0.9999535239598825,0.9891598915989159,0.003933317217279247
cleveland,switzerland,7,conservative_candidate,1.0,1.0,1.0,0.02461809730838708,0.011092048212592113,0.026098090117963834,0.023610070347786165,0.012230239478480048,0.9999870662875748,0.9999918541173983,1.0,0.0022343319075984664
cleveland,switzerland,8,pseudo_label_sfda,1.0,1.0,1.0,0.1043669113213087,0.0414065834517704,0.1166003721435384,0.09748660167679181,0.0581088059379534,0.9997006138012317,0.9997771168136197,0.991869918699187,0.02321887737124916
cleveland,switzerland,8,entropy_sfda,0.9761904761904763,0.6666666666666666,0.5,0.14492268740091624,0.057496703447002306,0.1626532364118943,0.13431045645847933,0.08198395663464245,0.9992429833476034,0.9994332153702816,0.9783197831978321,0.025212789696406543
cleveland,switzerland,8,reliability_gated_sfda,1.0,1.0,1.0,0.051808822591982315,0.02055465960459913,0.05424950968680481,0.05024313926696777,0.024913502049000284,0.9999586344290664,0.9999772419199378,0.994579945799458,0.0035202198215131884
cleveland,switzerland,8,conservative_candidate,1.0,1.0,1.0,0.019883055881146444,0.007888414078713976,0.023993831752076363,0.020225451327860355,0.011595592156762213,0.9999801587387153,0.9999878181002705,1.0,0.003054874570570819
