source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,switzerland,cleveland -> switzerland,1,conservative_candidate,-0.0032608695652173,True,1.0,1.0,0.0049456599404151,0.0146757766606316,0.0068588790654593,0.9999876409898,0.994579945799458,0.0016430365603144
cleveland,switzerland,cleveland -> switzerland,2,pseudo_label_sfda,-0.0032608695652174,True,1.0,1.0,0.0657497192298748,0.1784751429795136,0.0846886837559739,0.9996069585124054,0.991869918699187,0.0180088488415368
cleveland,switzerland,cleveland -> switzerland,2,entropy_sfda,0.0032608695652173,False,0.9761904761904764,1.0,0.0567121884108859,0.1756939195845147,0.0900508389433155,0.9989983320802782,0.970189701897019,0.0291933017911586
cleveland,switzerland,cleveland -> switzerland,2,reliability_gated_sfda,0.0021739130434782,False,1.0,1.0,0.0255780407519886,0.0691246447239518,0.0306579879045579,0.9999261393152256,0.991869918699187,0.0044315831766017
cleveland,switzerland,cleveland -> switzerland,2,conservative_candidate,0.0,False,1.0,1.0,0.0070030872848863,0.0219558304771061,0.0104039130658638,0.9999823051116002,1.0,0.00300956031353
cleveland,switzerland,cleveland -> switzerland,3,pseudo_label_sfda,0.0,False,0.9761904761904764,1.0,0.0423086739248571,0.1263416273128033,0.0605178796502083,0.999706082156654,0.989159891598916,0.0198614843704593
cleveland,switzerland,cleveland -> switzerland,3,entropy_sfda,0.0021739130434783,False,0.9285714285714288,1.0,0.0580352157354868,0.170164794269741,0.0827147116267203,0.9993338282314308,0.981029810298103,0.0238485504698947
cleveland,switzerland,cleveland -> switzerland,3,reliability_gated_sfda,0.0,False,1.0,1.0,0.0205469730313047,0.0561659492384755,0.0258806894302276,0.999955999879508,0.997289972899729,0.0038884104176507
cleveland,switzerland,cleveland -> switzerland,3,conservative_candidate,0.0,False,1.0,1.0,0.008461905571071,0.0240735587622777,0.0118168573174769,0.9999864156825072,1.0,0.0026075194885091
cleveland,switzerland,cleveland -> switzerland,4,pseudo_label_sfda,0.0010869565217391,False,1.0,1.0,0.0519340534770381,0.1582180375535097,0.0792345653591637,0.9996141389461732,0.989159891598916,0.0306545167071063
