source,target,seed,method,delta_roc_auc,negative_adaptation_auc,brier_improvement,brier_worsened,expected_negative_adaptation_auc,negative_adaptation_flag_match,expected_brier_worsened,brier_worsened_flag_match,effect_tolerance
cleveland,va_long_beach,0,entropy_sfda,-0.0039478878799842,True,-0.0020141295437501,True,True,True,True,True,1e-08
cleveland,va_long_beach,0,reliability_gated_sfda,0.0005263850506646,False,-0.0011242565447324,True,False,True,True,True,1e-08
cleveland,va_long_beach,0,conservative_candidate,-0.0001315962626661,True,0.0004036502748461,False,True,True,False,True,1e-08
cleveland,va_long_beach,1,pseudo_label_sfda,-0.002895117778655,True,-0.0009906075481117,True,True,True,True,True,1e-08
cleveland,va_long_beach,1,entropy_sfda,-0.0007895775759967,True,-0.0016859685155998,True,True,True,True,True,1e-08
cleveland,va_long_beach,1,reliability_gated_sfda,0.0011843663639953,False,-0.0010213045916463,True,False,True,True,True,1e-08
cleveland,va_long_beach,1,conservative_candidate,-0.0010527701013289,True,6.446972145909835e-05,False,True,True,False,True,1e-08
cleveland,va_long_beach,2,pseudo_label_sfda,0.000921173838663,False,-0.0001645314532142,True,False,True,True,True,1e-08
cleveland,va_long_beach,2,entropy_sfda,0.0002631925253323,False,-0.0004185728360468,True,False,True,True,True,1e-08
cleveland,va_long_beach,2,reliability_gated_sfda,0.0006579813133308,False,-0.0010774681977928,True,False,True,True,True,1e-08
cleveland,va_long_beach,2,conservative_candidate,0.0001315962626661,False,0.0005790065301599,False,False,True,False,True,1e-08
cleveland,va_long_beach,3,pseudo_label_sfda,0.0032899065666535,False,-0.0003591954880896,True,False,True,True,True,1e-08
cleveland,va_long_beach,3,entropy_sfda,0.00579023555731,False,-0.0018140423227817,True,False,True,True,True,1e-08
cleveland,va_long_beach,3,reliability_gated_sfda,0.0006579813133306,False,-0.0008736252381144,True,False,True,True,True,1e-08
cleveland,va_long_beach,3,conservative_candidate,0.0019739439399921,False,0.000647440402145,False,False,True,False,True,1e-08
cleveland,va_long_beach,4,pseudo_label_sfda,0.0007895775759968,False,0.0007453881964396,False,False,True,False,True,1e-08
cleveland,va_long_beach,4,entropy_sfda,-0.0011843663639953,True,-0.0009049421926509,True,True,True,True,True,1e-08
cleveland,va_long_beach,4,reliability_gated_sfda,0.0,False,-0.0010755017061555,True,False,True,True,True,1e-08
cleveland,va_long_beach,4,conservative_candidate,-0.0006579813133307,True,0.0006450105142377,False,True,True,False,True,1e-08
cleveland,va_long_beach,5,pseudo_label_sfda,0.0027635215159889,False,-0.0006820669813279,True,False,True,True,True,1e-08
cleveland,va_long_beach,5,entropy_sfda,0.0034215028293196,False,-0.0009889013655772,True,False,True,True,True,1e-08
cleveland,va_long_beach,5,reliability_gated_sfda,-1.1102230246251563e-16,False,-0.0007642340130276,True,False,True,True,True,1e-08
cleveland,va_long_beach,5,conservative_candidate,-0.0006579813133307,True,0.0007077493119324,False,True,True,False,True,1e-08
cleveland,va_long_beach,6,pseudo_label_sfda,0.0005263850506644,False,-0.0004975756818296,True,False,True,True,True,1e-08
cleveland,va_long_beach,6,entropy_sfda,0.0023687327279904,False,-0.0013945204452046,True,False,True,True,True,1e-08
cleveland,va_long_beach,6,reliability_gated_sfda,0.0001315962626659,False,-0.0010720310313333,True,False,True,True,True,1e-08
cleveland,va_long_beach,6,conservative_candidate,-2.220446049250313e-16,False,0.0003976432285607,False,False,True,False,True,1e-08
cleveland,va_long_beach,7,pseudo_label_sfda,0.001973943939992,False,-0.0008947475478498,True,False,True,True,True,1e-08
cleveland,va_long_beach,7,entropy_sfda,0.0017107514146597,False,-0.0006213478308895,True,False,True,True,True,1e-08
cleveland,va_long_beach,7,reliability_gated_sfda,-0.0002631925253322,True,-0.0009647406435549,True,True,True,True,True,1e-08
cleveland,va_long_beach,7,conservative_candidate,-0.0003947887879984,True,0.0005034829962462,False,True,True,False,True,1e-08
cleveland,va_long_beach,8,pseudo_label_sfda,0.0043426766679824,False,-0.0018201803419827,True,False,True,True,True,1e-08
cleveland,va_long_beach,8,entropy_sfda,0.0040794841426503,False,-0.0030386257006906,True,False,True,True,True,1e-08
