source,target,method,delta_roc_auc_mean,delta_roc_auc_std,delta_roc_auc_median,brier_improvement_mean,brier_improvement_std,brier_improvement_median,brier_degradation_mean,brier_degradation_std,brier_degradation_median,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,global_importance_spearman_mean,global_importance_spearman_std,global_importance_spearman_median,global_top3_overlap_fraction_mean,global_top3_overlap_fraction_std,global_top3_overlap_fraction_median,global_importance_relative_l1_drift_mean,global_importance_relative_l1_drift_std,global_importance_relative_l1_drift_median,patient_l1_drift_mean_mean,patient_l1_drift_mean_std,patient_l1_drift_mean_median,patient_l2_drift_mean_mean,patient_l2_drift_mean_std,patient_l2_drift_mean_median,patient_cosine_similarity_mean_mean,patient_cosine_similarity_mean_std,patient_cosine_similarity_mean_median,patient_top3_overlap_mean_mean,patient_top3_overlap_mean_std,patient_top3_overlap_mean_median,mean_absolute_probability_shift_mean,mean_absolute_probability_shift_std,mean_absolute_probability_shift_median
hungary,switzerland,conservative_candidate,-0.00021739130434782002,0.0011226038684658544,0.0,0.00187919436212441,0.0011256756429329129,0.00229339782305385,-0.00187919436212441,0.0011256756429329129,-0.00229339782305385,0.0008695652173913,0.0018332044406773123,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.00427186355191178,0.001334196894656357,0.004100623573686,0.0171234780762076,0.0031934938091659035,0.01719249462141625,0.008640943443829211,0.001784830934281914,0.00866243852161385,0.9999852745312042,7.5463608572696115e-06,0.9999866539804239,0.9981029810298102,0.0013090674567470958,0.9972899728997288,0.00248828477006613,0.0007467733978132748,0.00274299015480325
hungary,switzerland,entropy_sfda,-0.0009782608695651797,0.0029634934850258357,-0.001086956521739,0.0026593205724490003,0.004090138473220109,0.0020913440653440502,-0.0026593205724490003,0.004090138473220109,-0.0020913440653440502,-0.00989130434782612,0.026753756653301264,0.0,0.9904761904761905,0.023002185311411724,1.0,0.9666666666666666,0.105409255338946,1.0,0.09911140644759792,0.008046891249642373,0.09809132903611326,0.28608560393374016,0.018232037219419395,0.28641546676233454,0.1420058755972236,0.008822991729198593,0.14161719549564855,0.9993664145270682,0.00020808218617231853,0.9993359930168049,0.9859078590785908,0.0072041199773720055,0.9850948509485093,0.02138829620297598,0.002606253391350599,0.021321981471425548
hungary,switzerland,pseudo_label_sfda,-0.00260869565217381,0.0021250548258862963,-0.0016304347826086,0.0023685503391658097,0.0041200344015807555,0.00240664952519425,-0.0023685503391658097,0.0041200344015807555,-0.00240664952519425,-0.0032065217391304595,0.0182575084610932,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05168855435308426,0.010692992051003925,0.0473388850671236,0.15060581620787122,0.036513425477931724,0.14014988968857295,0.07415920677973806,0.018118244689338574,0.0679773228936873,0.999764471185822,0.0001287693849820696,0.9998010458697112,0.9905149051490515,0.007901018827703611,0.9932249322493225,0.01239257994282046,0.003720423983955409,0.01274845420526775
hungary,switzerland,reliability_gated_sfda,-0.00043478260869564005,0.001554174680400464,0.0,-0.00421219159747421,0.0008192687599217209,-0.00431360982340205,0.00421219159747421,0.0008192687599217209,0.00431360982340205,-0.00391304347826086,0.005594277990034446,0.0,0.9976190476190476,0.00752923252421037,1.0,1.0,0.0,1.0,0.02205182238821478,0.0019555397212635216,0.021940806932137798,0.0635231106547947,0.0036493551274705822,0.0632273301910986,0.03276716494740367,0.0016547845515286908,0.032941326305511845,0.9999673405640233,8.771760239639934e-06,0.9999691285925432,0.9972899728997289,0.002856619385879289,0.9972899728997288,0.00497299621441979,0.0003989466644773986,0.00501660577104825
hungary,va_long_beach,conservative_candidate,-0.0002763521515989,0.0007583771833714065,-0.00013159626266604998,0.00063947454876364,0.00044617745612599,0.00070727390657645,-0.00063947454876364,0.00044617745612599,-0.00070727390657645,-0.00064482168706408,0.002039105215794826,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.00396114324577435,0.0008669325827057549,0.004025341564951599,0.01746053800227873,0.0020160932940933318,0.01750029470465955,0.00863966173041346,0.001027341981359195,0.008764231813316349,0.9999804568332783,5.886939628570996e-06,0.9999804982525471,0.9964999999999999,0.002144473229513215,0.9966666666666667,0.0019954026816412203,0.0006023507307180667,0.0022320079337805002
hungary,va_long_beach,entropy_sfda,-0.00056586392946434,0.0020178570401227607,-0.0004605869193314,-0.01594711690549429,0.0032751115685845243,-0.01646916021107675,0.01594711690549429,0.0032751115685845243,0.01646916021107675,-0.00167785234899329,0.003261158777877667,-0.00335570469798655,0.9928571428571429,0.011501092655705815,1.0,1.0,0.0,1.0,0.1830709003206313,0.010089302137430124,0.1808314496318536,0.49113589796765716,0.027038660529324847,0.4956004741756771,0.2546642613881274,0.013391896191190043,0.25685958580496193,0.9990292001351125,0.00020574285936609749,0.9989993922377041,0.9809999999999999,0.008964952335086304,0.9824999999999999,0.034293787242844646,0.002338807419015681,0.03409525425639
hungary,va_long_beach,pseudo_label_sfda,0.0005790235557310301,0.001441831762648875,0.0001315962626661,0.00078696935413695,0.0030268986766390556,0.0014750769182888,-0.00078696935413695,0.0030268986766390556,-0.0014750769182888,0.0011383076720621198,0.009742817585481817,0.00194104487432555,0.9857142857142858,0.030116930096841604,1.0,1.0,0.0,1.0,0.10379570316325366,0.010216537283452481,0.103915558607951,0.2825563244205532,0.037040171239881986,0.2873295007695742,0.13918349286031764,0.017475424414942382,0.13981225294189714,0.9995018605716727,0.00026187457867686553,0.9995915766082584,0.9866666666666667,0.006034878050666794,0.9858333333333333,0.02185880460310722,0.0036474281729065236,0.022562383408658147
hungary,va_long_beach,reliability_gated_sfda,-0.00019739439399919,0.00048152165636046034,-0.00032899065666529997,-0.00293625075943501,0.0004645843703754884,-0.0028549873290362,0.00293625075943501,0.0004645843703754884,0.0028549873290362,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.02637654117387044,0.0018142966512249051,0.02586440507571875,0.07075245041669241,0.005025988840371188,0.06987027044873685,0.03555468834405759,0.0022776363011093497,0.035841237935453255,0.9999779607818434,7.664200960995583e-06,0.9999805695687904,0.9966666666666667,0.0034246744460939,0.9966666666666667,0.0054781393418088095,0.0004453456289964865,0.00544692752882835
switzerland,cleveland,conservative_candidate,0.0,0.0,0.0,-2.780251734391114e-09,1.761065052693326e-08,-4.3855194475916903e-10,2.780251734391114e-09,1.761065052693326e-08,4.3855194475916903e-10,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
switzerland,cleveland,entropy_sfda,-0.0029588524302508897,0.004103706839577076,-0.00239077031058075,-0.05529488008579686,0.006620138812327742,-0.0564246500476874,0.05529488008579686,0.006620138812327742,0.0564246500476874,0.0,0.0,0.0,0.9571428571428573,0.035136418446315335,0.9642857142857144,0.8333333333333333,0.17568209223157663,0.8333333333333333,0.1790707309759237,0.029925443244945355,0.17439487155371902,0.28557088476018927,0.07506290521717487,0.2903210962905468,0.13488210798786765,0.03343113891151655,0.1342914650392394,0.9940041518703351,0.0028616628006200703,0.9947347950794769,0.9250825082508252,0.020895334055658844,0.9295929592959296,0.04927367867022846,0.0058053181009699115,0.0500021596552908
