source,target,seed,model_state,feature,mean_abs_shap,importance_rank
cleveland,hungary,3,reliability_gated_sfda,oldpeak,0.49944730506589013,4
cleveland,hungary,3,source_only,age,0.21059229605962668,6
cleveland,hungary,3,source_only,sex,0.7421451337939623,1
cleveland,hungary,3,source_only,cp,0.7214175926958571,2
cleveland,hungary,3,source_only,trestbps,0.18419046884047843,7
cleveland,hungary,3,source_only,restecg,0.11349660082606176,8
cleveland,hungary,3,source_only,thalach,0.624786203004876,3
cleveland,hungary,3,source_only,exang,0.4751391976970394,5
cleveland,hungary,3,source_only,oldpeak,0.48952213708362,4
cleveland,hungary,4,conservative_candidate,age,0.12682900309671966,7
cleveland,hungary,4,conservative_candidate,sex,0.5339571834434154,4
cleveland,hungary,4,conservative_candidate,cp,0.810998278133275,1
cleveland,hungary,4,conservative_candidate,trestbps,0.22307061690514032,6
cleveland,hungary,4,conservative_candidate,restecg,0.07767540456881669,8
cleveland,hungary,4,conservative_candidate,thalach,0.7016107416490004,2
cleveland,hungary,4,conservative_candidate,exang,0.36849016767806136,5
cleveland,hungary,4,conservative_candidate,oldpeak,0.5797158914687884,3
cleveland,hungary,4,entropy_sfda,age,0.20276335923660066,7
cleveland,hungary,4,entropy_sfda,sex,0.5650768897909557,4
cleveland,hungary,4,entropy_sfda,cp,0.9876401131904564,1
cleveland,hungary,4,entropy_sfda,trestbps,0.29644076008710785,6
cleveland,hungary,4,entropy_sfda,restecg,0.10905285609377867,8
cleveland,hungary,4,entropy_sfda,thalach,0.8225509522001253,2
cleveland,hungary,4,entropy_sfda,exang,0.49473243660996763,5
cleveland,hungary,4,entropy_sfda,oldpeak,0.7136211100788343,3
cleveland,hungary,4,pseudo_label_sfda,age,0.1800469272385104,7
cleveland,hungary,4,pseudo_label_sfda,sex,0.6113270749591392,4
cleveland,hungary,4,pseudo_label_sfda,cp,1.0007653762095412,1
cleveland,hungary,4,pseudo_label_sfda,trestbps,0.2805885613237058,6
cleveland,hungary,4,pseudo_label_sfda,restecg,0.09639746792592727,8
cleveland,hungary,4,pseudo_label_sfda,thalach,0.8497603300287306,2
cleveland,hungary,4,pseudo_label_sfda,exang,0.4899363468724246,5
cleveland,hungary,4,pseudo_label_sfda,oldpeak,0.7272043671382933,3
cleveland,hungary,4,reliability_gated_sfda,age,0.1284837997443245,7
cleveland,hungary,4,reliability_gated_sfda,sex,0.5440170984928255,4
cleveland,hungary,4,reliability_gated_sfda,cp,0.8260651627039935,1
cleveland,hungary,4,reliability_gated_sfda,trestbps,0.22863185677208564,6
cleveland,hungary,4,reliability_gated_sfda,restecg,0.07854627743496026,8
cleveland,hungary,4,reliability_gated_sfda,thalach,0.716211393253789,2
cleveland,hungary,4,reliability_gated_sfda,exang,0.3779380370729736,5
cleveland,hungary,4,reliability_gated_sfda,oldpeak,0.5925832760019772,3
cleveland,hungary,4,source_only,age,0.12387871409281902,7
cleveland,hungary,4,source_only,sex,0.538223956280131,4
cleveland,hungary,4,source_only,cp,0.8089187584456482,1
cleveland,hungary,4,source_only,trestbps,0.22143794331053385,6
