analysis_level,method,xai_metric,outcome,outcome_interpretation,n,spearman_rho,nominal_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_iterations,inference_note
seed_level_descriptive,reliability_gated_sfda,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,120,0.09487232561452205,0.3026706193463818,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,120,0.4391990393514772,5.214833410432368e-07,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,120,0.044693287556375576,0.6278833145685573,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,120,0.008474880603015357,0.9268032473355204,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,120,,,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,120,,,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,120,-0.24318350335804478,0.007442652266519359,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,120,-0.202947997733517,0.02620887597348398,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.07207485575263942,0.434041469221967,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.4791655020998365,3.086473274445296e-08,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.08531599065186472,0.35418711570106265,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.5117765620537622,2.3152486374670133e-09,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.16735353597693584,0.0677020656732795,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,120,0.20274426642402454,0.026362921342164048,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.19381660268141193,0.03391439474670208,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,120,-1.4460845134014478e-05,0.999874929572556,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,120,-0.10665317533146274,0.2462897160250105,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,conservative_candidate,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,120,-0.6391999583149226,3.947865957420248e-15,,,0,Descriptive only; seed/direction observations are not treated as independent.
direction_level_method_specific,pseudo_label_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,12,-0.27563386216868563,0.3858641186891682,-0.8146432768621273,0.4376569535387298,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,12,-0.57953786404698,0.04827681969486584,-0.9016423180167351,-0.00396415489208887,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,12,-0.596631655104677,0.04057123589945242,-0.9131319419014088,-0.2218755272439041,4850,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,12,-0.4497684784635258,0.14236698178496862,-0.8494283395499835,0.0,4861,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,12,0.3636363636363637,0.24526500073077723,-0.328572690560323,0.8175513064635561,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,12,0.5734265734265735,0.05126558978649151,0.029112909742236136,0.8909090909090909,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,12,0.2937062937062937,0.3541476412329215,-0.33339285714285716,0.737235336750013,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,12,0.4545454545454546,0.13765791634772948,-0.07861444212721581,0.7793594306049823,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,12,0.2657342657342658,0.4038330883147116,-0.35714285714285715,0.7426523109243697,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,12,0.49650349650349657,0.10060263183225476,-0.02857142857142857,0.8136200716845878,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,12,-0.34965034965034975,0.26523878689278996,-0.8759124087591241,0.3846153846153846,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,12,-0.6853146853146854,0.013905968814362752,-0.9500000000000001,-0.09672710148340075,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,12,-0.3216783216783217,0.30790987618065263,-0.848392480076289,0.3985869565217386,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,12,-0.6713286713286714,0.016831456186893416,-0.9288256227758007,-0.13355006922609147,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,12,0.2377622377622378,0.45680085263992326,-0.4644169226830516,0.822695035460993,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,pseudo_label_sfda,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,12,0.6153846153846154,0.033169901090105904,0.0575436793422405,0.8928571428571428,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,12,0.37127902821932357,0.23473669062919864,-0.37296198870573805,0.9424512003300586,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
