model_state,feature,mean_abs_shap_mean,mean_abs_shap_sd,importance_fraction_mean,importance_fraction_sd,importance_fraction_median,mean_importance_rank,median_importance_rank,top3_frequency,n_jobs,aggregate_fraction_rank
pseudo_label_sfda,oldpeak,0.4858644686646218,0.34820882291911437,0.19988265055038526,0.09399636473526735,0.1936345695086874,2.725,2.0,0.7,120,2
pseudo_label_sfda,exang,0.38233806074153004,0.19362611191221973,0.16467515501013877,0.04199936462696987,0.16371598433183066,3.341666666666667,3.0,0.5666666666666667,120,3
pseudo_label_sfda,thalach,0.2900094170315951,0.21043897348138213,0.1160032577630153,0.05946247989172872,0.1089784172074537,4.383333333333334,4.0,0.35,120,4
pseudo_label_sfda,age,0.13373937094730362,0.07552999818681586,0.07792456026552924,0.06524600108519768,0.05185293679001299,5.725,6.0,0.20833333333333334,120,5
pseudo_label_sfda,trestbps,0.14371459359052885,0.06974337435077417,0.07275014503033111,0.040835841664205244,0.06533404594819231,5.733333333333333,6.0,0.09166666666666666,120,6
pseudo_label_sfda,sex,0.20089397896563785,0.2358012656345568,0.07104147707965651,0.05448892581164979,0.05378100681195149,5.9,6.0,0.13333333333333333,120,7
pseudo_label_sfda,restecg,0.1132678947831212,0.06624255635541985,0.05471918475582494,0.03549114825346733,0.04712328475822612,6.325,7.0,0.05,120,8
reliability_gated_sfda,cp,0.4725663232543598,0.18700790618846452,0.2424866483278675,0.08002371084728228,0.22814579512171962,1.8833333333333333,1.0,0.9,120,1
reliability_gated_sfda,oldpeak,0.4396238485766662,0.3141029514358721,0.19760744357855592,0.09468318201296014,0.19265768999794117,2.775,2.0,0.6666666666666666,120,2
reliability_gated_sfda,exang,0.3477878220566302,0.17719863557704846,0.16578369163258896,0.04270410759649137,0.16571246047456767,3.3583333333333334,3.0,0.5583333333333333,120,3
reliability_gated_sfda,thalach,0.25875241483129785,0.1827110771014345,0.11777431821396998,0.06141583939331163,0.11078856813030372,4.383333333333334,4.0,0.375,120,4
reliability_gated_sfda,age,0.12078057771273265,0.07034578516552477,0.0766224269819111,0.06449591301617684,0.050940291860344454,5.7,6.0,0.20833333333333334,120,5
reliability_gated_sfda,sex,0.1817993647146822,0.2048356223806396,0.07320994576087861,0.05710700031854106,0.05502009795659431,5.816666666666666,6.0,0.16666666666666666,120,6
reliability_gated_sfda,trestbps,0.12762608829446223,0.06110115728043482,0.07158299952505714,0.040120625171279296,0.06519016401592612,5.758333333333334,6.0,0.075,120,7
reliability_gated_sfda,restecg,0.10191773360200375,0.0560990799912899,0.05493252597917074,0.03591926627419483,0.04775373067733849,6.325,7.0,0.05,120,8
source_only,cp,0.4656203761788244,0.18301438418292995,0.24292055938993823,0.0799085710770225,0.22922320281427794,1.875,1.0,0.9,120,1
source_only,oldpeak,0.43029435637225166,0.30600542784137985,0.1973044059072695,0.09454645144280113,0.19156890878750787,2.7916666666666665,2.0,0.6666666666666666,120,2
source_only,exang,0.34055548718023804,0.1714021173079939,0.16546026053753762,0.04258258529492117,0.16586399451819306,3.341666666666667,3.0,0.5583333333333333,120,3
source_only,thalach,0.253479851237207,0.1785092181387083,0.11746260019979357,0.061528664628313946,0.11056121066459731,4.383333333333334,4.0,0.375,120,4
source_only,age,0.11926340211110964,0.06917921316201166,0.0769170572817652,0.06476131347035609,0.050561737510114745,5.675,6.0,0.20833333333333334,120,5
source_only,sex,0.179559963677366,0.20182417280711396,0.07367057657217095,0.05751690854617209,0.05513147388114409,5.816666666666666,6.0,0.16666666666666666,120,6
source_only,trestbps,0.124493334191561,0.05915199306516214,0.07099483722822622,0.03981284236967976,0.06379912795222437,5.816666666666666,6.0,0.075,120,7
source_only,restecg,0.1009425826236948,0.05558935588125997,0.055269702883298695,0.035923280285630514,0.04778197519220982,6.3,7.0,0.05,120,8
