source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,4,pseudo_label_sfda,exang,0.4899363468724246,5,0.11565941630894083,False
cleveland,hungary,4,pseudo_label_sfda,oldpeak,0.7272043671382933,3,0.17167134705853687,True
cleveland,hungary,4,reliability_gated_sfda,age,0.1284837997443245,7,0.03678873285890313,False
cleveland,hungary,4,reliability_gated_sfda,sex,0.5440170984928255,4,0.15576827387541684,False
cleveland,hungary,4,reliability_gated_sfda,cp,0.8260651627039935,1,0.23652702251363777,True
cleveland,hungary,4,reliability_gated_sfda,trestbps,0.2286318567720856,6,0.0654640998986707,False
cleveland,hungary,4,reliability_gated_sfda,restecg,0.0785462774349602,8,0.022490135124943522,False
cleveland,hungary,4,reliability_gated_sfda,thalach,0.716211393253789,2,0.20507262136820753,True
cleveland,hungary,4,reliability_gated_sfda,exang,0.3779380370729736,5,0.10821489954970004,False
cleveland,hungary,4,reliability_gated_sfda,oldpeak,0.5925832760019772,3,0.16967421481052042,True
cleveland,hungary,4,source_only,age,0.123878714092819,7,0.03627384703824818,False
cleveland,hungary,4,source_only,sex,0.538223956280131,4,0.1576013571451658,False
cleveland,hungary,4,source_only,cp,0.8089187584456482,1,0.23686551418544313,True
cleveland,hungary,4,source_only,trestbps,0.2214379433105338,6,0.06484089008295733,False
cleveland,hungary,4,source_only,restecg,0.0766269269990645,8,0.022437700046615196,False
cleveland,hungary,4,source_only,thalach,0.7020070524157664,2,0.20555990289034742,True
cleveland,hungary,4,source_only,exang,0.3648585112081194,5,0.10683693258431619,False
cleveland,hungary,4,source_only,oldpeak,0.5791453548713403,3,0.16958385602690676,True
cleveland,hungary,5,conservative_candidate,age,0.1800650633431236,7,0.052690125156651654,False
cleveland,hungary,5,conservative_candidate,sex,0.701139861223649,2,0.20516554602151943,True
cleveland,hungary,5,conservative_candidate,cp,0.8049035947579815,1,0.23552859371738005,True
cleveland,hungary,5,conservative_candidate,trestbps,0.1801255062162293,6,0.05270781177775204,False
cleveland,hungary,5,conservative_candidate,restecg,0.0514583789717893,8,0.015057604057347705,False
cleveland,hungary,5,conservative_candidate,thalach,0.659501985342679,3,0.19298158956326503,True
cleveland,hungary,5,conservative_candidate,exang,0.3691945743816746,5,0.10803266313942651,False
cleveland,hungary,5,conservative_candidate,oldpeak,0.4710457601590829,4,0.13783606656665753,False
cleveland,hungary,5,entropy_sfda,age,0.2736412020024786,6,0.06585685083739454,False
cleveland,hungary,5,entropy_sfda,sex,0.778546925912909,2,0.1873718153353751,True
cleveland,hungary,5,entropy_sfda,cp,0.9674249511516216,1,0.23282882927765006,True
cleveland,hungary,5,entropy_sfda,trestbps,0.2688858462141218,7,0.06471238591566204,False
cleveland,hungary,5,entropy_sfda,restecg,0.065292422693402,8,0.015713837355869172,False
cleveland,hungary,5,entropy_sfda,thalach,0.7579505267334455,3,0.18241490833955995,True
cleveland,hungary,5,entropy_sfda,exang,0.4589822758622721,5,0.11046263156743381,False
cleveland,hungary,5,entropy_sfda,oldpeak,0.5843667552812772,4,0.1406387413710554,False
cleveland,hungary,5,pseudo_label_sfda,age,0.2562765980822027,6,0.06124196848319664,False
cleveland,hungary,5,pseudo_label_sfda,sex,0.8142066950193879,2,0.19456954372084692,True
cleveland,hungary,5,pseudo_label_sfda,cp,0.9649250349742644,1,0.23058644067682874,True
cleveland,hungary,5,pseudo_label_sfda,trestbps,0.2530753033173897,7,0.06047696069645673,False
cleveland,hungary,5,pseudo_label_sfda,restecg,0.0613015831848463,8,0.014649131654901303,False
cleveland,hungary,5,pseudo_label_sfda,thalach,0.7854558129661849,3,0.18769899593871356,True
