source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
va_long_beach,cleveland,0,33,source_only,0.6864686468646864,0.702689068257589,0.6067961165048543,0.8992805755395683,0.5060975609756098,0.7246376811594203,0.4329823256227783,0.8366818740129847,0.816405264114565,0.20145222544670105,83,81,14,125
va_long_beach,cleveland,0,33,pseudo_label_sfda,0.6864686468646864,0.702689068257589,0.6067961165048543,0.8992805755395683,0.5060975609756098,0.7246376811594203,0.4329823256227783,0.8366818740129847,0.816405264114565,0.2014522366134419,83,81,14,125
va_long_beach,cleveland,0,33,entropy_sfda,0.5742574257425742,0.6039656080014038,0.5193798449612403,0.9640287769784173,0.24390243902439024,0.6750629722921915,0.29136199869815543,0.8289173539217406,0.8029692973180198,0.2485225345179988,40,124,5,134
va_long_beach,cleveland,0,33,reliability_gated_sfda,0.6897689768976898,0.7057378487453939,0.6097560975609756,0.8992805755395683,0.5121951219512195,0.7267441860465116,0.4383121867396335,0.8371644148096157,0.8166540173541538,0.20018293724664346,84,80,14,125
va_long_beach,cleveland,0,33,conservative_candidate,0.6897689768976898,0.7057378487453939,0.6097560975609756,0.8992805755395683,0.5121951219512195,0.7267441860465116,0.4383121867396335,0.8362870679066503,0.8161124023603255,0.20149010258115238,84,80,14,125
va_long_beach,hungary,0,33,source_only,0.7585034013605442,0.7823665194700924,0.6174496644295302,0.8679245283018868,0.6968085106382979,0.7215686274509804,0.5423728208516331,0.8728422320353272,0.8115725489093897,0.19363702833652496,131,57,14,92
va_long_beach,hungary,0,33,pseudo_label_sfda,0.7585034013605442,0.7823665194700924,0.6174496644295302,0.8679245283018868,0.6968085106382979,0.7215686274509804,0.5423728208516331,0.8728422320353272,0.8115725489093897,0.19363703064062204,131,57,14,92
va_long_beach,hungary,0,33,entropy_sfda,0.7074829931972789,0.7589321557607387,0.5555555555555556,0.9433962264150944,0.574468085106383,0.6993006993006993,0.5103394741677763,0.8810718586912887,0.8146077258634775,0.20741453920462513,108,80,6,100
va_long_beach,hungary,0,33,reliability_gated_sfda,0.7653061224489796,0.7876856684062625,0.6258503401360545,0.8679245283018868,0.7074468085106383,0.7272727272727273,0.5525387558135934,0.8727418707346447,0.8119281210700036,0.1921586611432094,133,55,14,92
va_long_beach,hungary,0,33,conservative_candidate,0.7619047619047619,0.7850260939381775,0.6216216216216216,0.8679245283018868,0.7021276595744681,0.7244094488188977,0.5474433549447532,0.8718887996788438,0.8113322264363045,0.1939637376413384,132,56,14,92
