source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
switzerland,cleveland,0,conservative_candidate,3,242,61,0.0,0.0,,,,0.0,True,0.32922402024269104,0.32922402024269104,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,0,conservative_candidate,4,243,60,0.0,0.0,,,,0.0,True,0.3260882794857025,0.3260882794857025,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,cleveland,0,conservative_candidate,5,243,60,0.0,0.0,,,,0.0,True,0.32373738288879395,0.32373738288879395,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,1.0,0.0
switzerland,hungary,0,pseudo_label_sfda,1,235,59,0.0005319148936170213,112.0,0.4765957446808511,112.0,0.0,0.9549748301506042,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,pseudo_label_sfda,2,235,59,0.002127659574468085,117.0,0.4978723404255319,117.0,0.0,0.9558581113815308,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,pseudo_label_sfda,3,235,59,0.002127659574468085,112.0,0.4765957446808511,112.0,0.0,0.9550608992576599,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,pseudo_label_sfda,4,235,59,0.001595744680851064,115.0,0.48936170212765956,115.0,0.0,0.9555506706237793,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,pseudo_label_sfda,5,236,58,0.00211864406779661,124.0,0.5254237288135594,124.0,0.0,0.9546935558319092,False,,,,,,,,,,,,,,,,,,
switzerland,hungary,0,entropy_sfda,1,235,59,0.0005319148936170213,,,,,,,0.31416425108909607,0.18815430998802185,0.8941395878791809,0.9490175843238831,1.0,1.0,0.8941395878791809,0.9490175843238831,,,,,,,,,,
switzerland,hungary,0,entropy_sfda,2,235,59,0.002127659574468085,,,,,,,0.30603960156440735,0.18142807483673096,0.8978756070137024,0.9514087438583374,1.0,1.0,0.8978756070137024,0.9514087438583374,,,,,,,,,,
