source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc,brier_worsened
cleveland,va_long_beach,3,34,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7277931306750889,0.8819505353716692,0.17910485269367135,23,28,21,128,0.7245032241084354,0.8815667531652595,0.6516646927227266,0.17874565720558167,0.003289906566653511,0.00038378220640977734,0.003355704697986628,-0.0003591954880896864,False,True
cleveland,va_long_beach,3,34,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7302934596657454,0.8832136867708675,0.1805596995283634,23,28,21,128,0.7245032241084354,0.8815667531652595,0.6516646927227266,0.17874565720558167,0.005790235557310064,0.0016469336056080808,0.003355704697986628,-0.0018140423227817337,False,True
cleveland,va_long_beach,3,34,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.725161205421766,0.8816130635168686,0.17961928244369615,23,28,22,127,0.7245032241084354,0.8815667531652595,0.6516646927227266,0.17874565720558167,0.0006579813133306134,4.631035160918007e-05,0.0,-0.0008736252381144893,False,True
cleveland,va_long_beach,3,34,conservative_candidate,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7264771680484275,0.882197224578194,0.1780982168034366,23,28,21,128,0.7245032241084354,0.8815667531652595,0.6516646927227266,0.17874565720558167,0.001973943939992173,0.0006304714129345967,0.003355704697986628,0.0006474404021450664,False,False
cleveland,hungary,4,34,pseudo_label_sfda,0.8095238095238095,0.7996286631874749,0.7232142857142857,0.7641509433962265,0.8351063829787234,0.7431192660550459,0.5925165756698846,0.8775592131674026,0.8360327854392142,0.14400166560284522,157,31,25,81,0.8766057808109193,0.8356169693754021,0.796366920915295,0.14282217621803284,0.0009534323564832636,0.00041581606381213554,0.0032617422721799016,-0.0011794893848123822,False,True
cleveland,hungary,4,34,entropy_sfda,0.8095238095238095,0.7934564431955038,0.7358490566037735,0.7358490566037735,0.851063829787234,0.7358490566037735,0.5869128863910076,0.8759534323564833,0.8335172523098908,0.14193034376523128,160,28,28,78,0.8766057808109193,0.8356169693754021,0.796366920915295,0.14282217621803284,-0.0006523484544360691,-0.002099717065511264,-0.002910477719791249,0.0008918324528015553,True,False
cleveland,hungary,4,34,reliability_gated_sfda,0.8027210884353742,0.796366920915295,0.7068965517241379,0.7735849056603774,0.8191489361702128,0.7387387387387387,0.5823077701655898,0.8765556001605781,0.8349338768803948,0.1431931937166547,154,34,24,82,0.8766057808109193,0.8356169693754021,0.796366920915295,0.14282217621803284,-5.018065034123609e-05,-0.0006830924950073092,0.0,-0.0003710174986218673,True,True
cleveland,hungary,4,34,conservative_candidate,0.8027210884353742,0.796366920915295,0.7068965517241379,0.7735849056603774,0.8191489361702128,0.7387387387387387,0.5823077701655898,0.8766559614612606,0.8354543273270136,0.1425438876011728,154,34,24,82,0.8766057808109193,0.8356169693754021,0.796366920915295,0.14282217621803284,5.018065034123609e-05,-0.00016264204838845053,0.0,0.0002782886168600507,False,False
cleveland,switzerland,4,34,pseudo_label_sfda,0.7642276422764228,0.5831521739130434,0.9479166666666666,0.7913043478260869,0.375,0.8625592417061612,0.09907863587553334,0.7706521739130435,0.9808960044422159,0.13552954600964537,3,5,24,91,0.7695652173913043,0.9807985186873374,0.5788043478260869,0.14902323484420776,0.0010869565217391797,9.748575487855682e-05,0.004347826086956497,0.013493688834562395,False,False
cleveland,switzerland,4,34,entropy_sfda,0.7723577235772358,0.5875,0.9484536082474226,0.8,0.375,0.8679245283018868,0.10569621154803355,0.7717391304347827,0.9810817330832682,0.13658415651733113,3,5,23,92,0.7695652173913043,0.9807985186873374,0.5788043478260869,0.14902323484420776,0.0021739130434783593,0.00028321439593081976,0.008695652173913104,0.01243907832687663,False,False
cleveland,switzerland,4,34,reliability_gated_sfda,0.7560975609756098,0.5788043478260869,0.9473684210526315,0.782608695652174,0.375,0.8571428571428571,0.09269008282833588,0.7684782608695653,0.9807090823395925,0.1516926598990433,3,5,25,90,0.7695652173913043,0.9807985186873374,0.5788043478260869,0.14902323484420776,-0.0010869565217390686,-8.943634774483122e-05,0.0,-0.002669425054835528,True,True
cleveland,switzerland,4,34,conservative_candidate,0.7560975609756098,0.5788043478260869,0.9473684210526315,0.782608695652174,0.375,0.8571428571428571,0.09269008282833588,0.7695652173913043,0.980780785618388,0.14680901040365382,3,5,25,90,0.7695652173913043,0.9807985186873374,0.5788043478260869,0.14902323484420776,0.0,-1.7733068949365993e-05,0.0,0.0022142244405539413,False,False
cleveland,va_long_beach,4,34,pseudo_label_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7273983418870905,0.8812175932033602,0.17982665963318836,23,28,22,127,0.7266087643110937,0.8812349713056832,0.6516646927227266,0.180572047829628,0.0007895775759968471,-1.7378102322940236e-05,0.0,0.0007453881964396281,False,False
cleveland,va_long_beach,4,34,entropy_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7254243979470983,0.8806390109020694,0.18147699002227896,23,28,22,127,0.7266087643110937,0.8812349713056832,0.6516646927227266,0.180572047829628,-0.0011843663639953261,-0.00059596040361376,0.0,-0.0009049421926509704,True,True
cleveland,va_long_beach,4,34,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7266087643110937,0.8813814873851135,0.1816475495357835,23,28,22,127,0.7266087643110937,0.8812349713056832,0.6516646927227266,0.180572047829628,0.0,0.0001465160794302811,0.0,-0.0010755017061555017,False,True
