seed,target,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
2,switzerland,reliability_gated_sfda,0.7398373983739838,0.6282608695652174,0.9560439560439561,0.7565217391304347,0.5,0.8446601941747572,0.14418577097066865,0.7576086956521739,0.9788954484367846,0.1640896089318943,4,4,28,87
2,va_long_beach,source_only,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7154230819844715,0.8792612797498622,0.17846263945102692,23,28,21,128
2,va_long_beach,pseudo_label_sfda,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7179234109751284,0.8797727088574729,0.17812726639770596,23,28,20,129
2,va_long_beach,entropy_sfda,0.755,0.6485721805500724,0.8164556962025317,0.8657718120805369,0.43137254901960786,0.8403908794788274,0.3179746710118314,0.7164758520858008,0.8788498364363619,0.1776169641339967,22,29,20,129
2,va_long_beach,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7166074483484668,0.8799089474711554,0.17954398889616283,23,28,21,128
3,hungary,source_only,0.8095238095238095,0.7975712565234846,0.7272727272727273,0.7547169811320755,0.8404255319148937,0.7407407407407407,0.5905376312394778,0.8733942191890808,0.829258584010152,0.13829657435417175,158,30,26,80
3,hungary,pseudo_label_sfda,0.8095238095238095,0.7934564431955038,0.7358490566037735,0.7358490566037735,0.851063829787234,0.7358490566037735,0.5869128863910076,0.8704335608189481,0.8257632796938232,0.13830972731177726,160,28,28,78
3,hungary,entropy_sfda,0.8129251700680272,0.7878863910076275,0.7628865979381443,0.6981132075471698,0.8776595744680851,0.729064039408867,0.587981968758809,0.8685768767563228,0.822047202701253,0.13790675278263972,165,23,32,74
3,hungary,reliability_gated_sfda,0.8095238095238095,0.7975712565234846,0.7272727272727273,0.7547169811320755,0.8404255319148937,0.7407407407407407,0.5905376312394778,0.8726415094339622,0.8286696115476688,0.1384959113984298,158,30,26,80
3,switzerland,source_only,0.7479674796747967,0.6326086956521739,0.9565217391304348,0.7652173913043478,0.5,0.8502415458937198,0.15063335603943892,0.7576086956521739,0.9798755286601495,0.16727250814437866,4,4,27,88
3,switzerland,pseudo_label_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7565217391304347,0.9797961575561944,0.16558283719408162,4,4,26,89
3,switzerland,entropy_sfda,0.7642276422764228,0.6413043478260869,0.9574468085106383,0.782608695652174,0.5,0.861244019138756,0.16417858509099698,0.7576086956521739,0.9799012783284936,0.16060393523832206,4,4,25,90
3,switzerland,reliability_gated_sfda,0.7479674796747967,0.6326086956521739,0.9565217391304348,0.7652173913043478,0.5,0.8502415458937198,0.15063335603943892,0.758695652173913,0.9799880441561061,0.17017946768371775,4,4,27,88
