seed,target,variant,source_roc_auc,roc_auc,delta_roc_auc,source_brier,brier,brier_improvement,delta_balanced_accuracy,negative_adaptation_auc,brier_worsened
1,va_long_beach,no_entropy,0.7381892354257139,0.7375312541123833,-0.0006579813133306134,0.1753191351890564,0.17620853884523582,-0.0008894036561794272,0.0,True,True
1,va_long_beach,no_anchor,0.7381892354257139,0.73832083168838,0.00013159626266612268,0.1753191351890564,0.17635060253628856,-0.0010314673472321678,0.0,False,True
1,va_long_beach,no_prior,0.7381892354257139,0.7380576391630478,-0.00013159626266612268,0.1753191351890564,0.17621275679929893,-0.0008936216102425343,0.0,True,True
2,hungary,no_pseudo,0.878061019670815,0.8781112003211562,5.018065034123609e-05,0.13494929671287537,0.13463311886248913,0.00031617785038623447,0.007978723404255317,False,False
2,hungary,no_entropy,0.878061019670815,0.8782617422721798,0.00020072260136483333,0.13494929671287537,0.13506283589960974,-0.0001135391867343738,0.005319148936170248,False,True
2,hungary,no_anchor,0.878061019670815,0.8786130068245686,0.000551987153753597,0.13494929671287537,0.1350145293994164,-6.523268654104464e-05,0.010036130068245774,False,True
2,hungary,no_prior,0.878061019670815,0.8782617422721798,0.00020072260136483333,0.13494929671287537,0.1349833901450889,-3.4093432213527786e-05,0.005319148936170248,False,True
2,switzerland,no_pseudo,0.7565217391304347,0.7543478260869566,-0.0021739130434781373,0.1607487052679062,0.15845507558516556,0.0022936296827406333,0.004347826086956497,True,False
2,switzerland,no_entropy,0.7565217391304347,0.7576086956521739,0.0010869565217391797,0.1607487052679062,0.16464518045892823,-0.003896475191022042,-0.004347826086956497,False,True
2,switzerland,no_anchor,0.7565217391304347,0.7565217391304349,1.1102230246251565e-16,0.1607487052679062,0.1660830064184319,-0.0053343011505257165,-0.004347826086956497,False,True
2,switzerland,no_prior,0.7565217391304347,0.7576086956521739,0.0010869565217391797,0.1607487052679062,0.16454861017473418,-0.0037999049068279944,-0.004347826086956497,False,True
2,va_long_beach,no_pseudo,0.7154230819844715,0.7160810632978023,0.0006579813133308354,0.17846263945102692,0.17784473463617162,0.0006179048148552968,0.0,False,False
2,va_long_beach,no_entropy,0.7154230819844715,0.7171338333991314,0.0017107514146599279,0.17846263945102692,0.179362654229676,-0.0009000147786490942,0.0,False,True
2,va_long_beach,no_anchor,0.7154230819844715,0.7175286221871299,0.002105540202658407,0.17846263945102692,0.1798157119093223,-0.0013530724582953846,0.0,False,True
2,va_long_beach,no_prior,0.7154230819844715,0.7164758520858008,0.0010527701013293145,0.17846263945102692,0.17950864448932694,-0.0010460050383000186,0.0,False,True
3,hungary,no_pseudo,0.8733942191890808,0.8729927739863509,-0.0004014452027298887,0.13829657435417175,0.13830807873057616,-1.150437640440316e-05,0.0,True,True
3,hungary,no_entropy,0.8733942191890808,0.8728422320353272,-0.000551987153753597,0.13829657435417175,0.1385620272031352,-0.00026545284896345445,0.0,True,True
3,hungary,no_anchor,0.8733942191890808,0.8728422320353272,-0.000551987153753597,0.13829657435417175,0.13843807544274758,-0.00014150108857582944,0.0,True,True
3,hungary,no_prior,0.8733942191890808,0.8727418707346447,-0.0006523484544360691,0.13829657435417175,0.1384759088666811,-0.00017933451250934374,0.0,True,True
3,switzerland,no_pseudo,0.7576086956521739,0.7576086956521739,0.0,0.16727250814437866,0.16513969668418724,0.002132811460191425,0.004347826086956497,False,False
