source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
hungary,va_long_beach,reliability_gated_sfda,delta_roc_auc,-0.00019739439399920621,-0.0011975259902619279,0.0006711409395973039,True,0.334,10,200,149,51
hungary,va_long_beach,reliability_gated_sfda,brier_improvement,-0.0029362501696465456,-0.0038664831715696526,-0.002069949961257166,False,0.0,10,200,149,51
hungary,va_long_beach,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,200,149,51
hungary,va_long_beach,conservative_candidate,delta_roc_auc,-0.00027635215159890205,-0.0014475588893274834,0.00064482168706409,True,0.3006,10,200,149,51
hungary,va_long_beach,conservative_candidate,brier_improvement,0.0006394751385521785,0.00028391605407175065,0.0009931191444844318,False,0.9994,10,200,149,51
hungary,va_long_beach,conservative_candidate,delta_balanced_accuracy,-0.0006448216870640899,-0.004566390314515068,0.001342281879194629,True,0.1778,10,200,149,51
switzerland,cleveland,pseudo_label_sfda,delta_roc_auc,0.002763642744341066,-0.0018249912265309613,0.007260155290401772,True,0.889,10,303,139,164
switzerland,cleveland,pseudo_label_sfda,brier_improvement,-0.05601468221675523,-0.05941194398349061,-0.0526872223011235,False,0.0,10,303,139,164
switzerland,cleveland,pseudo_label_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,cleveland,entropy_sfda,delta_roc_auc,-0.0029588524302509136,-0.00839631952974207,0.0017941744165642657,True,0.1258,10,303,139,164
switzerland,cleveland,entropy_sfda,brier_improvement,-0.05529487732122977,-0.06001026567863985,-0.050403309569588974,False,0.0,10,303,139,164
switzerland,cleveland,entropy_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,cleveland,reliability_gated_sfda,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,cleveland,reliability_gated_sfda,brier_improvement,-1.56846036158953e-11,-1.918172896214765e-09,1.8083541124258585e-09,True,0.5014,10,303,139,164
switzerland,cleveland,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,cleveland,conservative_candidate,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,cleveland,conservative_candidate,brier_improvement,-1.56846036158953e-11,-1.918172896214765e-09,1.8083541124258585e-09,True,0.5014,10,303,139,164
switzerland,cleveland,conservative_candidate,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,303,139,164
switzerland,hungary,pseudo_label_sfda,delta_roc_auc,-0.0012796065837013203,-0.007683786631874713,0.003949342633480544,True,0.3578,10,294,106,188
switzerland,hungary,pseudo_label_sfda,brier_improvement,-0.06639709826843013,-0.07063725581462306,-0.062147571963982996,False,0.0,10,294,106,188
switzerland,hungary,pseudo_label_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,hungary,entropy_sfda,delta_roc_auc,-0.009494179044560413,-0.018747867322360487,-0.0023031663990365084,False,0.0028,10,294,106,188
switzerland,hungary,entropy_sfda,brier_improvement,-0.06953937117145001,-0.07453899281724398,-0.06472709569975588,False,0.0,10,294,106,188
