seed,target,variant,fold,reliability_mode,selected_per_class,selected_n,teacher_positive_rate,mean_selected_confidence,class_support_score,missingness_rate,missingness_factor,reliability_score,adaptation_skipped,entropy_before,entropy_after,positive_rate_before,positive_rate_after,teacher_drift
8,hungary,candidate_no_prior,5,full,47,94,0.4025423728813559,0.9355750679969788,0.8050847457627118,0.00211864406779661,0.9978813559322034,0.7516214165743467,False,0.40680375695228577,0.4059123694896698,0.4025423728813559,0.4025423728813559,0.0010073167504742742
8,hungary,unit_reliability,1,unit,47,94,0.3702127659574468,0.9282156825065613,0.7404255319148936,0.0005319148936170213,0.999468085106383,1.0,False,0.4115881621837616,0.40875327587127686,0.3702127659574468,0.3702127659574468,0.0029598313849419355
8,hungary,unit_reliability,2,unit,47,94,0.4085106382978723,0.9351326823234558,0.8170212765957446,0.002127659574468085,0.997872340425532,1.0,False,0.3982684910297394,0.3959888517856598,0.4085106382978723,0.4085106382978723,0.0017562330467626452
8,hungary,unit_reliability,3,unit,47,94,0.37446808510638296,0.9335559010505676,0.7489361702127659,0.002127659574468085,0.997872340425532,1.0,False,0.4005436599254608,0.39766547083854675,0.37446808510638296,0.37446808510638296,0.0028230189345777035
8,hungary,unit_reliability,4,unit,47,94,0.3829787234042553,0.9353210926055908,0.7659574468085106,0.001595744680851064,0.9984042553191489,1.0,False,0.4044979214668274,0.4014025628566742,0.3829787234042553,0.3829787234042553,0.0026815510354936123
8,hungary,unit_reliability,5,unit,47,94,0.4025423728813559,0.9355750679969788,0.8050847457627118,0.00211864406779661,0.9978813559322034,1.0,False,0.40680375695228577,0.40507131814956665,0.4025423728813559,0.4025423728813559,0.0013222084380686283
8,hungary,no_missingness_factor,1,no_missingness,47,94,0.3702127659574468,0.9282156825065613,0.7404255319148936,0.0005319148936170213,0.999468085106383,0.6872745904516666,False,0.4115881621837616,0.4100157916545868,0.3702127659574468,0.3702127659574468,0.00232280557975173
8,hungary,no_missingness_factor,2,no_missingness,47,94,0.4085106382978723,0.9351326823234558,0.8170212765957446,0.002127659574468085,0.997872340425532,0.7640232978983128,False,0.3982684910297394,0.3969191610813141,0.4085106382978723,0.4085106382978723,0.0013370434753596783
8,hungary,no_missingness_factor,3,no_missingness,47,94,0.37446808510638296,0.9335559010505676,0.7489361702127659,0.002127659574468085,0.997872340425532,0.69917378121234,False,0.4005436599254608,0.3987208604812622,0.37446808510638296,0.37446808510638296,0.002310876501724124
8,hungary,no_missingness_factor,4,no_missingness,47,94,0.3829787234042553,0.9353210926055908,0.7659574468085106,0.001595744680851064,0.9984042553191489,0.7164161560383249,False,0.4044979214668274,0.40248310565948486,0.3829787234042553,0.3829787234042553,0.002107680542394519
8,hungary,no_missingness_factor,5,no_missingness,47,94,0.4025423728813559,0.9355750679969788,0.8050847457627118,0.00211864406779661,0.9978813559322034,0.7532172157602794,False,0.40680375695228577,0.4059576392173767,0.4025423728813559,0.4025423728813559,0.0009426545002497733
8,hungary,no_class_support_factor,1,no_class_support,47,94,0.3702127659574468,0.9282156825065613,0.7404255319148936,0.0005319148936170213,0.999468085106383,0.9277219507605471,False,0.4115881621837616,0.40903568267822266,0.3702127659574468,0.3702127659574468,0.0028165914118289948
8,hungary,no_class_support_factor,2,no_class_support,47,94,0.4085106382978723,0.9351326823234558,0.8170212765957446,0.002127659574468085,0.997872340425532,0.9331430383185123,False,0.3982684910297394,0.3962424397468567,0.4085106382978723,0.4085106382978723,0.001630825805477798
8,hungary,no_class_support_factor,3,no_class_support,47,94,0.37446808510638296,0.9335559010505676,0.7489361702127659,0.002127659574468085,0.997872340425532,0.9315696118993962,False,0.4005436599254608,0.3978947103023529,0.37446808510638296,0.37446808510638296,0.0027098762802779675
8,hungary,no_class_support_factor,4,no_class_support,47,94,0.3829787234042553,0.9353210926055908,0.7659574468085106,0.001595744680851064,0.9984042553191489,0.9338285589471776,False,0.4044979214668274,0.4016435444355011,0.3829787234042553,0.3829787234042553,0.002547561191022396
8,hungary,no_class_support_factor,5,no_class_support,47,94,0.4025423728813559,0.9355750679969788,0.8050847457627118,0.00211864406779661,0.9978813559322034,0.9335929174291886,False,0.40680375695228577,0.40530624985694885,0.4025423728813559,0.4025423728813559,0.0012043500319123268
8,hungary,no_confidence_factor,1,no_confidence,47,94,0.3702127659574468,0.9282156825065613,0.7404255319148936,0.0005319148936170213,0.999468085106383,0.7400316885468537,False,0.4115881621837616,0.40979647636413574,0.3702127659574468,0.3702127659574468,0.00243474286980927
8,hungary,no_confidence_factor,2,no_confidence,47,94,0.4085106382978723,0.9351326823234558,0.8170212765957446,0.002127659574468085,0.997872340425532,0.8152829334540516,False,0.3982684910297394,0.39670759439468384,0.4085106382978723,0.4085106382978723,0.0014247571816667914
8,hungary,no_confidence_factor,3,no_confidence,47,94,0.37446808510638296,0.9335559010505676,0.7489361702127659,0.002127659574468085,0.997872340425532,0.7473426889995474,False,0.4005436599254608,0.3985445499420166,0.37446808510638296,0.37446808510638296,0.0023986282758414745
8,hungary,no_confidence_factor,4,no_confidence,47,94,0.3829787234042553,0.9353210926055908,0.7659574468085106,0.001595744680851064,0.9984042553191489,0.7647351742870077,False,0.4044979214668274,0.40229517221450806,0.3829787234042553,0.3829787234042553,0.002203996991738677
8,hungary,no_confidence_factor,5,no_confidence,47,94,0.4025423728813559,0.9355750679969788,0.8050847457627118,0.00211864406779661,0.9978813559322034,0.8033790577420281,False,0.40680375695228577,0.40577083826065063,0.4025423728813559,0.4025423728813559,0.0010053542209789157
8,switzerland,candidate_full,1,full,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.337337233569909,False,0.4406750202178955,0.4398203492164612,0.7959183673469388,0.7959183673469388,0.0031734842341393232
8,switzerland,candidate_full,2,full,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.3711867005762484,False,0.4525011479854584,0.45097532868385315,0.7755102040816326,0.7755102040816326,0.003973460756242275
8,switzerland,candidate_full,3,full,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.34883769348524407,False,0.47454261779785156,0.4738108515739441,0.7857142857142857,0.7857142857142857,0.0034470714163035154
8,switzerland,candidate_full,4,full,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.38587159987049885,False,0.45721450448036194,0.4572213292121887,0.7676767676767676,0.7676767676767676,0.002904596272855997
8,switzerland,candidate_full,5,full,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.3711103745448736,False,0.4429100751876831,0.4416464865207672,0.7777777777777778,0.7777777777777778,0.0028211786411702633
8,switzerland,candidate_no_entropy,1,full,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.337337233569909,False,0.4406750202178955,0.4407854676246643,0.7959183673469388,0.7959183673469388,0.0027146609500050545
8,switzerland,candidate_no_entropy,2,full,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.3711867005762484,False,0.4525011479854584,0.451974481344223,0.7755102040816326,0.7755102040816326,0.0033488438930362463
8,switzerland,candidate_no_entropy,3,full,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.34883769348524407,False,0.47454261779785156,0.4746692478656769,0.7857142857142857,0.7857142857142857,0.0030475198291242123
8,switzerland,candidate_no_entropy,4,full,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.38587159987049885,False,0.45721450448036194,0.45809146761894226,0.7676767676767676,0.7676767676767676,0.0027047365438193083
8,switzerland,candidate_no_entropy,5,full,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.3711103745448736,False,0.4429100751876831,0.4425860345363617,0.7777777777777778,0.7777777777777778,0.002314020646736026
8,switzerland,candidate_no_anchor,1,full,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.337337233569909,False,0.4406750202178955,0.4328414499759674,0.7959183673469388,0.7959183673469388,0.009488527663052082
8,switzerland,candidate_no_anchor,2,full,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.3711867005762484,False,0.4525011479854584,0.44491103291511536,0.7755102040816326,0.7755102040816326,0.00961016770452261
8,switzerland,candidate_no_anchor,3,full,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.34883769348524407,False,0.47454261779785156,0.46743854880332947,0.7857142857142857,0.7857142857142857,0.00982400868088007
8,switzerland,candidate_no_anchor,4,full,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.38587159987049885,False,0.45721450448036194,0.45048704743385315,0.7676767676767676,0.7676767676767676,0.00853378139436245
8,switzerland,candidate_no_anchor,5,full,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.3711103745448736,False,0.4429100751876831,0.4356124699115753,0.7777777777777778,0.7777777777777778,0.008811641484498978
8,switzerland,candidate_no_prior,1,full,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.337337233569909,False,0.4406750202178955,0.4402955174446106,0.7959183673469388,0.7959183673469388,0.0026147530879825354
8,switzerland,candidate_no_prior,2,full,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.3711867005762484,False,0.4525011479854584,0.45143359899520874,0.7755102040816326,0.7755102040816326,0.003241972764953971
8,switzerland,candidate_no_prior,3,full,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.34883769348524407,False,0.47454261779785156,0.47424745559692383,0.7857142857142857,0.7857142857142857,0.0028572636656463146
8,switzerland,candidate_no_prior,4,full,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.38587159987049885,False,0.45721450448036194,0.4576062262058258,0.7676767676767676,0.7676767676767676,0.0025017336010932922
8,switzerland,candidate_no_prior,5,full,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.3711103745448736,False,0.4429100751876831,0.4420439600944519,0.7777777777777778,0.7777777777777778,0.0021299479994922876
8,switzerland,unit_reliability,1,unit,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,1.0,False,0.4406750202178955,0.43792861700057983,0.7959183673469388,0.7959183673469388,0.004504438955336809
8,switzerland,unit_reliability,2,unit,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,1.0,False,0.4525011479854584,0.4493422210216522,0.7755102040816326,0.7755102040816326,0.005027163773775101
8,switzerland,unit_reliability,3,unit,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,1.0,False,0.47454261779785156,0.4722129702568054,0.7857142857142857,0.7857142857142857,0.004621168598532677
8,switzerland,unit_reliability,4,unit,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,1.0,False,0.45721450448036194,0.4558083415031433,0.7676767676767676,0.7676767676767676,0.003712824545800686
8,switzerland,unit_reliability,5,unit,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,1.0,False,0.4429100751876831,0.44010862708091736,0.7777777777777778,0.7777777777777778,0.0037590842694044113
8,switzerland,no_missingness_factor,1,no_missingness,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.3416955957607347,False,0.4406750202178955,0.4398069977760315,0.7959183673469388,0.7959183673469388,0.0031833238899707794
8,switzerland,no_missingness_factor,2,no_missingness,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.37404932294573107,False,0.4525011479854584,0.45096802711486816,0.7755102040816326,0.7755102040816326,0.0039782412350177765
