seed,target,method,roc_auc,pr_auc,balanced_accuracy,brier,source_roc_auc,source_brier,delta_roc_auc,brier_improvement,negative_adaptation
6,va_long_beach,reliability_gated_sfda,0.7327937886564021,0.8843752747114729,0.6550203974207133,0.1802315107274132,0.7329253849190683,0.1790741384029388,-0.0001315962626662337,-0.0011573723244744094,True
7,hungary,source_only,0.8768065034122843,0.8355029876416431,0.8016860698514653,0.1346259862184524,0.8768065034122843,0.1346259862184524,0.0,0.0,False
7,hungary,pseudo_label_sfda,0.8761541549578482,0.8342940287901299,0.7993777599357688,0.132621482417636,0.8768065034122843,0.1346259862184524,-0.0006523484544360691,0.002004503800816404,True
7,hungary,entropy_sfda,0.8753010839020473,0.8327577996037934,0.7884885588117222,0.13240622621193,0.8768065034122843,0.1346259862184524,-0.0015054195102369716,0.002219760006522409,True
7,hungary,reliability_gated_sfda,0.8764050582095544,0.8352706709136871,0.8016860698514653,0.1347353588642525,0.8768065034122843,0.1346259862184524,-0.0004014452027298887,-0.0001093726458001043,True
7,switzerland,source_only,0.7195652173913043,0.9719291696015162,0.6369565217391304,0.1697152107954025,0.7195652173913043,0.1697152107954025,0.0,0.0,False
7,switzerland,pseudo_label_sfda,0.717391304347826,0.9715977867298224,0.6413043478260869,0.1718039864555068,0.7195652173913043,0.1697152107954025,-0.0021739130434782483,-0.0020887756601042917,True
7,switzerland,entropy_sfda,0.7195652173913043,0.9725675287434258,0.6456521739130434,0.1635505490058206,0.7195652173913043,0.1697152107954025,0.0,0.006164661789581888,False
7,switzerland,reliability_gated_sfda,0.7184782608695652,0.9720074827874732,0.6369565217391304,0.1730268220094101,0.7195652173913043,0.1697152107954025,-0.0010869565217390686,-0.0033116112140076093,True
7,va_long_beach,source_only,0.7312146335044085,0.8873999065832696,0.6516646927227266,0.1824769079685211,0.7312146335044085,0.1824769079685211,0.0,0.0,False
7,va_long_beach,pseudo_label_sfda,0.7312146335044085,0.8874458070245227,0.6550203974207133,0.1828254013347513,0.7312146335044085,0.1824769079685211,0.0,-0.0003484933662302181,False
7,va_long_beach,entropy_sfda,0.7310830372417424,0.8865684402276433,0.6550203974207133,0.1823623208177206,0.7312146335044085,0.1824769079685211,-0.00013159626266612268,0.00011458715080048254,True
7,va_long_beach,reliability_gated_sfda,0.7310830372417424,0.8872438087091036,0.6516646927227266,0.183450921387644,0.7312146335044085,0.1824769079685211,-0.00013159626266612268,-0.0009740134191228988,True
8,hungary,source_only,0.875451625853071,0.8331041413551281,0.8016860698514653,0.1397059708833694,0.875451625853071,0.1397059708833694,0.0,0.0,False
8,hungary,pseudo_label_sfda,0.875,0.8328119404807995,0.7955138498594941,0.1396038902489868,0.875451625853071,0.1397059708833694,-0.00045162585307101377,0.00010208063438257864,True
8,hungary,entropy_sfda,0.874347651545564,0.8304007653753424,0.7987755921316739,0.1384853963817419,0.875451625853071,0.1397059708833694,-0.001103974307506972,0.0012205745016274916,True
8,hungary,reliability_gated_sfda,0.8755018065034124,0.8330151666150145,0.8016860698514653,0.1399541395352266,0.875451625853071,0.1397059708833694,5.018065034134711e-05,-0.00024816865185720016,False
8,switzerland,source_only,0.7597826086956522,0.9800655180821114,0.65,0.1533569693565368,0.7597826086956522,0.1533569693565368,0.0,0.0,False
8,switzerland,pseudo_label_sfda,0.7619565217391304,0.9803668578660948,0.65,0.1471578717373327,0.7597826086956522,0.1533569693565368,0.0021739130434782483,0.006199097619204119,False
8,switzerland,entropy_sfda,0.7619565217391304,0.980343796761512,0.5875,0.1436221180851054,0.7597826086956522,0.1533569693565368,0.0021739130434782483,0.009734851271431422,False
8,switzerland,reliability_gated_sfda,0.7597826086956522,0.9800929620758948,0.6456521739130434,0.1554768170358793,0.7597826086956522,0.1533569693565368,0.0,-0.002119847679342479,False
8,va_long_beach,source_only,0.7285827082510857,0.8809344165520648,0.6550203974207133,0.1763540208339691,0.7285827082510857,0.1763540208339691,0.0,0.0,False
8,va_long_beach,pseudo_label_sfda,0.727924726937755,0.8806386584594228,0.6550203974207133,0.1766065460956677,0.7285827082510857,0.1763540208339691,-0.0006579813133307244,-0.00025252526169861067,True
8,va_long_beach,entropy_sfda,0.7256875904724306,0.8788530993575285,0.6550203974207133,0.1779788412920699,0.7285827082510857,0.1763540208339691,-0.002895117778655143,-0.0016248204581008063,True
8,va_long_beach,reliability_gated_sfda,0.7285827082510857,0.8809976001582595,0.6550203974207133,0.1772655248282907,0.7285827082510857,0.1763540208339691,0.0,-0.0009115039943216052,False
9,hungary,source_only,0.884684865515857,0.8409397761423213,0.8149839421918909,0.1303787678480148,0.884684865515857,0.1303787678480148,0.0,0.0,False
9,hungary,pseudo_label_sfda,0.8840826977117623,0.8392392901188672,0.8040947410678443,0.1306574592816429,0.884684865515857,0.1303787678480148,-0.000602167804094722,-0.0002786914336281032,True
9,hungary,entropy_sfda,0.88358089120835,0.8376983390393219,0.8005820955439582,0.1301042315580469,0.884684865515857,0.1303787678480148,-0.001103974307506972,0.0002745362899679027,True
9,hungary,reliability_gated_sfda,0.8843837816138097,0.8407710277886786,0.8149839421918909,0.1305983167033216,0.884684865515857,0.1303787678480148,-0.0003010839020473055,-0.0002195488553067837,True
9,switzerland,source_only,0.7456521739130435,0.9769063534076968,0.6994565217391304,0.1642075330018997,0.7456521739130435,0.1642075330018997,0.0,0.0,False
9,switzerland,pseudo_label_sfda,0.7456521739130435,0.9768569091718102,0.6994565217391304,0.1583857734904027,0.7456521739130435,0.1642075330018997,0.0,0.005821759511496993,False
9,switzerland,entropy_sfda,0.7434782608695653,0.9767170861666528,0.7125,0.1478989454408657,0.7456521739130435,0.1642075330018997,-0.0021739130434782483,0.016308587561033983,True
9,switzerland,reliability_gated_sfda,0.7434782608695653,0.9766967798239368,0.6951086956521739,0.1674583219490023,0.7456521739130435,0.1642075330018997,-0.0021739130434782483,-0.0032507889471025952,True
9,va_long_beach,source_only,0.7402947756283722,0.8888956119572048,0.6516646927227266,0.1781714260578155,0.7402947756283722,0.1781714260578155,0.0,0.0,False
9,va_long_beach,pseudo_label_sfda,0.7393736017897092,0.8883836273172994,0.6516646927227266,0.1773069200881629,0.7402947756283722,0.1781714260578155,-0.0009211738386629698,0.0008645059696525959,True
9,va_long_beach,entropy_sfda,0.7416107382550337,0.8891233670400247,0.6550203974207133,0.1766153246895172,0.7402947756283722,0.1781714260578155,0.0013159626266614488,0.001556101368298285,False
9,va_long_beach,reliability_gated_sfda,0.7395051980523754,0.88861000429575,0.6516646927227266,0.1795150508638168,0.7402947756283722,0.1781714260578155,-0.0007895775759968471,-0.001343624806001309,True
0,hungary,conservative_candidate,0.8766057808109194,,,0.1364682411485304,0.8768065034122842,0.1368975937366485,-0.0002007226013647223,0.00042935258811810373,True
0,switzerland,conservative_candidate,0.7641304347826087,,,0.1593434727889459,0.7663043478260869,0.1609197109937667,-0.0021739130434782483,0.0015762382048208068,True
0,va_long_beach,conservative_candidate,0.7301618634030793,,,0.1779365351543117,0.7301618634030793,0.17828169465065,0.0,0.0003451594963382876,False
1,hungary,conservative_candidate,0.880469690887194,,,0.1327013055372511,0.8808209554395825,0.1328840255737304,-0.0003512645523885416,0.0001827200364793169,True
1,switzerland,conservative_candidate,0.7510869565217391,,,0.1552898531236032,0.75,0.1563877165317535,0.0010869565217390686,0.0010978634081503236,False
1,va_long_beach,conservative_candidate,0.7392420055270429,,,0.1750020467260385,0.7381892354257139,0.1753191351890564,0.0010527701013289814,0.00031708846301789495,False
2,hungary,conservative_candidate,0.8780610196708148,,,0.1346575715972633,0.878061019670815,0.1349492967128753,-1.1102230246251565e-16,0.00029172511561201264,False
2,switzerland,conservative_candidate,0.7543478260869566,,,0.1590686115856186,0.7565217391304347,0.1607487052679062,-0.0021739130434781373,0.0016800936822875812,True
2,va_long_beach,conservative_candidate,0.7150282931964732,,,0.1779773434831189,0.7154230819844715,0.1784626394510269,-0.000394788787998257,0.00048529596790800045,True
3,hungary,conservative_candidate,0.8730429546366921,,,0.1381618594162377,0.8733942191890808,0.1382965743541717,-0.0003512645523886526,0.00013471493793398848,True
3,switzerland,conservative_candidate,0.7576086956521739,,,0.1653449654100685,0.7576086956521739,0.1672725081443786,0.0,0.001927542734310117,False
3,va_long_beach,conservative_candidate,0.7262139755230952,,,0.1786977459887616,0.7260823792604291,0.1792863309383392,0.00013159626266612268,0.0005885849495776141,False
4,hungary,conservative_candidate,0.8840325170614212,,,0.1348778715629977,0.8840325170614212,0.1351528018712997,0.0,0.0002749303083020016,False
4,switzerland,conservative_candidate,0.7804347826086957,,,0.1546336102874348,0.7815217391304348,0.1572275310754776,-0.0010869565217390686,0.0025939207880427972,True
4,va_long_beach,conservative_candidate,0.7339781550203974,,,0.1785029973363828,0.734504540071062,0.1792231053113937,-0.0005263850506646017,0.000720107975010903,True
5,hungary,conservative_candidate,0.8782115616218386,,,0.1401271514399186,0.8781112003211561,0.1403741240501403,0.00010036130068247218,0.0002469726102216907,False
