source,target,seed,fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
cleveland,switzerland,2,3,98,25,98,0.05946454033255577,0.8756335377693176,0.6938775181770325,0.6938775181770325,0.5636848211288452,0.5569896697998047,0.008467946201562881,0.14693877398967742,0.5612244606018066,0.3996950566768646,1.0205734968185425,2.2591836734693875,221.4
cleveland,switzerland,2,4,99,24,99,0.05939193069934845,1.0217846632003784,0.6868686676025391,0.6868686676025391,0.5480148792266846,0.5409121513366699,0.008565980941057205,0.1858585834503174,0.5757575631141663,0.3854142427444458,1.060560441017151,2.4666666666666663,244.2
cleveland,switzerland,2,5,99,24,99,0.06003773212432861,1.0568974018096924,0.6969696879386902,0.6969696879386902,0.5383864641189575,0.5301640629768372,0.00786723755300045,0.16767676770687104,0.6060606241226196,0.367437607049942,1.0361489057540894,2.5333333333333337,250.8
cleveland,va_long_beach,2,1,160,40,160,0.05944639444351196,0.9823044538497925,0.7250000238418579,0.71875,0.5380746722221375,0.5326420068740845,0.007231160532683134,0.15625,0.5312500119209289,0.4460745632648468,0.9261081874370575,2.1931249999999993,350.9
cleveland,va_long_beach,2,2,160,40,160,0.06200188025832176,0.8584209084510803,0.7750000357627869,0.7562500238418579,0.5438398122787476,0.5397132039070129,0.006432485766708851,0.1675000011920929,0.543749988079071,0.4693149745464325,0.9173246085643768,2.13375,341.4
cleveland,va_long_beach,2,3,160,40,160,0.061518650501966476,0.903199315071106,0.768750011920929,0.7437500357627869,0.5398339629173279,0.5354559421539307,0.006497506983578205,0.16250000298023223,0.5424999952316284,0.46232529282569884,0.8003420352935791,1.9293749999999998,308.7
cleveland,va_long_beach,2,4,160,40,160,0.06143007427453995,0.9269902110099792,0.762499988079071,0.737500011920929,0.5361357927322388,0.53156977891922,0.006591831333935261,0.17375000417232514,0.53125,0.4697109282016754,0.8841318786144257,2.1125,338.0
cleveland,va_long_beach,2,5,160,40,160,0.0571567676961422,0.9595860838890076,0.71875,0.6937500238418579,0.5440587997436523,0.5393259525299072,0.007007806096225977,0.13750000298023224,0.5112499952316284,0.4521274626255035,0.8794237732887268,2.04875,327.8
cleveland,hungary,3,1,235,59,235,0.04040418565273285,1.432583212852478,0.3446808457374573,0.35319146513938904,0.5275205373764038,0.5190628170967102,0.00652146665379405,0.1923404186964035,0.3617021143436432,0.3089031636714935,0.6745490849018096,1.7097872340425533,401.8
cleveland,hungary,3,2,235,59,235,0.04175165668129921,1.578691005706787,0.38723403215408325,0.3957446813583374,0.5158579349517822,0.5069913268089294,0.006590563338249922,0.20425531268119812,0.3999999761581421,0.2998765766620636,0.6911314964294434,1.8395744680851063,432.3
cleveland,hungary,3,3,235,59,235,0.04225583001971245,1.5216845273971558,0.3404255211353302,0.3404255211353302,0.5198479890823364,0.5111989378929138,0.006685191765427589,0.1880851000547409,0.34893617033958435,0.3037628710269928,0.6680226683616638,1.7208510638297874,404.4
cleveland,hungary,3,4,235,59,235,0.03848849982023239,1.5917572975158691,0.3404255211353302,0.3361701965332031,0.515540599822998,0.5069453716278076,0.006899128668010235,0.1974468022584915,0.3463829755783081,0.2974111557006836,0.6823298990726471,1.7893617021276593,420.5
cleveland,hungary,3,5,236,58,236,0.04067274555563927,1.559911847114563,0.37288135290145874,0.3686440587043762,0.5189177989959717,0.5104719996452332,0.006550770718604326,0.20423728823661805,0.3694915175437927,0.30387446880340574,0.7088950037956238,1.8567796610169491,438.2
cleveland,switzerland,3,1,98,25,98,0.0358649305999279,1.2919349670410156,0.7244898080825806,0.714285671710968,0.5031176209449768,0.4961283504962921,0.005512458272278309,0.357142847776413,0.5918367505073547,0.35261409878730776,0.8863369166851044,2.123469387755102,208.1
cleveland,switzerland,3,2,98,25,98,0.036080501973629,1.2468692064285278,0.714285671710968,0.714285671710968,0.5117259621620178,0.5030650496482849,0.006578688509762287,0.3346938669681549,0.6122449040412903,0.33343018889427184,0.868216872215271,2.0397959183673473,199.9
