architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
dual_head,hungary,cleveland,9,dlar_lcl,303,0.45874587458745875,0.8736620459729776,0.86257521678311,0.14844911558023344,0.06446318510341956,0.7986798679867987,0.7909940340410598,0.697841726618705,0.8841463414634146,0.38283828382838286,0.4410126548592407
dual_head,hungary,switzerland,0,dual_head_source_only,123,0.9349593495934959,0.7434782608695653,0.972975926103343,0.24816147402048647,0.4036765872705273,0.5853658536585366,0.6619565217391304,0.5739130434782609,0.75,0.5528455284552846,0.5312827623229686
dual_head,hungary,switzerland,0,dlar_lcl,123,0.9349593495934959,0.7456521739130435,0.9736582003508347,0.25236647055052164,0.4059386914823113,0.5772357723577236,0.6576086956521738,0.5652173913043478,0.75,0.5447154471544715,0.5290206581111846
dual_head,hungary,switzerland,1,dual_head_source_only,123,0.9349593495934959,0.7380434782608696,0.9757360132719219,0.2701896905311096,0.435927720755581,0.5691056910569106,0.6532608695652173,0.5565217391304348,0.75,0.5365853658536586,0.4998269897045159
dual_head,hungary,switzerland,1,dlar_lcl,123,0.9349593495934959,0.7402173913043478,0.9761763700166265,0.2747939473697303,0.4385081316397443,0.5609756097560976,0.6489130434782608,0.5478260869565217,0.75,0.5284552845528455,0.4971580128601896
dual_head,hungary,switzerland,2,dual_head_source_only,123,0.9349593495934959,0.7391304347826086,0.9753986053051787,0.2808376358229521,0.43936820098055085,0.5447154471544715,0.6402173913043478,0.5304347826086957,0.75,0.5121951219512195,0.49559114861294506
dual_head,hungary,switzerland,2,dlar_lcl,123,0.9349593495934959,0.7391304347826086,0.9756660070029097,0.2857221518249873,0.441687644800035,0.5447154471544715,0.6402173913043478,0.5304347826086957,0.75,0.5121951219512195,0.493271704793461
dual_head,hungary,switzerland,3,dual_head_source_only,123,0.9349593495934959,0.7293478260869566,0.9715138717577241,0.24968398219835308,0.39367969285666454,0.5772357723577236,0.6576086956521738,0.5652173913043478,0.75,0.5447154471544715,0.5412796567368313
dual_head,hungary,switzerland,3,dlar_lcl,123,0.9349593495934959,0.7239130434782608,0.9709710464034366,0.24901264336367734,0.3913223320027676,0.5853658536585366,0.6619565217391304,0.5739130434782609,0.75,0.5528455284552846,0.545250109480164
dual_head,hungary,switzerland,4,dual_head_source_only,123,0.9349593495934959,0.7793478260869565,0.9789860492855701,0.25775633017394217,0.4068997576227033,0.5528455284552846,0.7027173913043478,0.5304347826086957,0.875,0.5040650406504065,0.5280595919707927
dual_head,hungary,switzerland,4,dlar_lcl,123,0.9349593495934959,0.7782608695652173,0.979058401739495,0.2568012470057645,0.4026422424287331,0.5528455284552846,0.7027173913043478,0.5304347826086957,0.875,0.5040650406504065,0.5323171071647629
dual_head,hungary,switzerland,5,dual_head_source_only,123,0.9349593495934959,0.7434782608695653,0.9765810873458984,0.2366947942688754,0.39748216983748647,0.5853658536585366,0.6619565217391304,0.5739130434782609,0.75,0.5528455284552846,0.5374771797560095
