architecture,source,target,seed,method,n,prevalence,roc_auc_recomputed,average_precision,brier_recomputed,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability,roc_auc_frozen,brier_frozen,source_roc_auc,source_brier,adapted_auc_diff,adapted_brier_diff
single_head,hungary,switzerland,4,pseudo_label_sfda,123,0.9349593495934959,0.75,0.9739765993644409,0.2538032463861334,0.37500188036299326,0.5772357723577236,0.5994565217391304,0.5739130434782609,0.625,0.5609756097560976,0.5599574692305026,0.75,0.2538032463861334,0.7543478260869565,0.2605360150337219,0.0,0.0
single_head,hungary,switzerland,4,entropy_sfda,123,0.9349593495934959,0.7532608695652174,0.9742273741394263,0.25622198736127105,0.3729348374394382,0.5691056910569106,0.5951086956521738,0.5652173913043478,0.625,0.5528455284552846,0.5620245121540578,0.7532608695652174,0.256221987361271,0.7543478260869565,0.2605360150337219,0.0,5.551115123125783e-17
single_head,hungary,switzerland,4,reliability_gated_sfda,123,0.9349593495934959,0.7543478260869565,0.9743373764165357,0.263587893939534,0.3899269753355321,0.5609756097560976,0.5907608695652173,0.5565217391304348,0.625,0.5447154471544715,0.5450323742579638,0.7543478260869565,0.263587893939534,0.7543478260869565,0.2605360150337219,0.0,0.0
single_head,hungary,switzerland,4,conservative_candidate,123,0.9349593495934959,0.7554347826086957,0.9744846711902015,0.25871338787060294,0.38671675257808796,0.5609756097560976,0.5907608695652173,0.5565217391304348,0.625,0.5447154471544715,0.548242597015408,0.7554347826086957,0.2587133878706029,0.7543478260869565,0.2605360150337219,0.0,5.551115123125783e-17
single_head,hungary,switzerland,5,pseudo_label_sfda,123,0.9349593495934959,0.75,0.9723412271551474,0.24385173614039804,0.3706805927724373,0.6260162601626016,0.683695652173913,0.6173913043478261,0.75,0.5934959349593496,0.5642787568210587,0.75,0.243851736140398,0.7510869565217392,0.2429586946964264,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,5,entropy_sfda,123,0.9349593495934959,0.7510869565217392,0.9727414109831354,0.24451757083095216,0.36560979848954733,0.6178861788617886,0.621195652173913,0.6173913043478261,0.625,0.6016260162601627,0.5693495511039486,0.7510869565217392,0.2445175708309521,0.7510869565217392,0.2429586946964264,0.0,5.551115123125783e-17
single_head,hungary,switzerland,5,reliability_gated_sfda,123,0.9349593495934959,0.75,0.9719963697118917,0.24623029030531368,0.37518497450443794,0.6178861788617886,0.6793478260869565,0.6086956521739131,0.75,0.5853658536585366,0.559774375089058,0.75,0.2462302903053136,0.7510869565217392,0.2429586946964264,0.0,8.326672684688674e-17
single_head,hungary,switzerland,5,conservative_candidate,123,0.9349593495934959,0.7510869565217392,0.9720705740762077,0.24065624060790533,0.37088476378864393,0.6341463414634146,0.6880434782608695,0.6260869565217392,0.75,0.6016260162601627,0.564074585804852,0.7510869565217392,0.2406562406079053,0.7510869565217392,0.2429586946964264,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,6,pseudo_label_sfda,123,0.9349593495934959,0.7380434782608696,0.9714903889707691,0.23324151897412526,0.36044014211956077,0.6016260162601627,0.6125,0.6,0.625,0.5853658536585366,0.5745192074739351,0.7380434782608696,0.2332415189741252,0.7391304347826086,0.2306745052337646,0.0,5.551115123125783e-17
single_head,hungary,switzerland,6,entropy_sfda,123,0.9349593495934959,0.7402173913043479,0.9716066339792819,0.23223551538941956,0.3526950575320459,0.6016260162601627,0.6125,0.6,0.625,0.5853658536585366,0.58226429206145,0.7402173913043479,0.2322355153894195,0.7391304347826086,0.2306745052337646,0.0,5.551115123125783e-17
