source,target,seed,source_auc_recomputed,source_brier_recomputed,source_roc_auc,source_brier,source_auc_diff,source_brier_diff
cleveland,va_long_beach,6,0.7298986708777472,0.1800988516009334,0.7298986708777472,0.1800988614559173,0.0,9.854983912260806e-09
cleveland,va_long_beach,7,0.7247664166337676,0.18465555738147355,0.7247664166337676,0.1846555769443512,0.0,1.9562877651146948e-08
cleveland,va_long_beach,8,0.7191077773391236,0.18002119263686975,0.7191077773391236,0.180021196603775,0.0,3.966905248731223e-09
cleveland,va_long_beach,9,0.7341097512830637,0.18027483152814117,0.7341097512830637,0.1802748292684555,0.0,2.259685660810362e-09
hungary,cleveland,0,0.8605457097736445,0.15545833311092708,0.8605457097736445,0.1554583311080932,0.0,2.0028338709732196e-09
hungary,cleveland,1,0.865327250394806,0.1492588422111224,0.865327250394806,0.1492588371038437,0.0,5.107278711058427e-09
hungary,cleveland,2,0.8648447095981752,0.14895242498230102,0.8648447095981752,0.1489524245262146,0.0,4.5608641863204014e-10
hungary,cleveland,3,0.8703281277417091,0.14457049522937526,0.8703281277417091,0.1445704996585846,0.0,4.429209332634798e-09
hungary,cleveland,4,0.8576065976487103,0.15368354881753876,0.8576065976487103,0.1536835581064224,0.0,9.288883634495093e-09
hungary,cleveland,5,0.8526934549921038,0.16036381884931136,0.8526934549921038,0.1603638231754303,0.0,4.32611893530499e-09
hungary,cleveland,6,0.8548429549043692,0.1540946016872476,0.8548429549043692,0.1540946066379547,0.0,4.950707122031162e-09
hungary,cleveland,7,0.8606773118090894,0.15168296598858577,0.8606773118090894,0.15168297290802,0.0,6.91943422004293e-09
hungary,cleveland,8,0.8594928934900858,0.15065258167447218,0.8594928934900858,0.1506525874137878,0.0,5.739315606101414e-09
hungary,cleveland,9,0.8597560975609756,0.15193479349916383,0.8597560975609756,0.1519347876310348,0.0,5.868129038244518e-09
hungary,switzerland,0,0.75,0.2678055014192028,0.75,0.2678054869174957,0.0,1.4501707057412716e-08
hungary,switzerland,1,0.7456521739130435,0.2430856375461205,0.7456521739130435,0.2430856376886367,0.0,1.4251619329108678e-10
hungary,switzerland,2,0.7521739130434781,0.22565714251325192,0.7521739130434781,0.225657120347023,0.0,2.216622890793829e-08
hungary,switzerland,3,0.7576086956521739,0.23410419937733554,0.7576086956521739,0.2341042160987854,0.0,1.6721449863643656e-08
hungary,switzerland,4,0.7543478260869565,0.2605360221362733,0.7543478260869565,0.2605360150337219,0.0,7.102551380366862e-09
hungary,switzerland,5,0.7510869565217392,0.24295869107844778,0.7510869565217392,0.2429586946964264,0.0,3.6179786111478762e-09
hungary,switzerland,6,0.7391304347826086,0.23067449722549943,0.7391304347826086,0.2306745052337646,0.0,8.008265162118278e-09
hungary,switzerland,7,0.7445652173913044,0.22373919438337192,0.7445652173913044,0.2237391918897628,0.0,2.493609124742946e-09
hungary,switzerland,8,0.7619565217391304,0.24736882255045736,0.7619565217391304,0.2473688423633575,0.0,1.9812900126092714e-08
hungary,switzerland,9,0.7336956521739131,0.2409280664521107,0.7336956521739131,0.2409280687570572,0.0,2.304946483677739e-09
hungary,va_long_beach,0,0.7477957626003421,0.2298662737877207,0.7477957626003421,0.2298662811517715,0.0,7.36405078582969e-09
hungary,va_long_beach,1,0.7451638373470193,0.2214777206406945,0.7451638373470193,0.2214777171611786,0.0,3.479515897630847e-09
hungary,va_long_beach,2,0.7380576391630478,0.21937613615674895,0.7380576391630478,0.2193761467933654,0.0,1.0636616448733704e-08
hungary,va_long_beach,3,0.7433214896696934,0.2188245495604042,0.7433214896696934,0.2188245356082916,0.0,1.3952112604131983e-08
hungary,va_long_beach,4,0.7435846821950256,0.23520298920349922,0.7435846821950256,0.2352029979228973,0.0,8.719398092438269e-09
hungary,va_long_beach,5,0.740163179365706,0.22814976099565526,0.740163179365706,0.2281497567892074,0.0,4.206447856702766e-09
hungary,va_long_beach,6,0.7443742597710223,0.21151668613942654,0.7443742597710223,0.2115166783332824,0.0,7.806144147748384e-09
hungary,va_long_beach,7,0.7468745887616792,0.21632471318145177,0.7468745887616792,0.2163247168064117,0.0,3.624959915571324e-09
hungary,va_long_beach,8,0.7384524279510462,0.2327066369959045,0.7384524279510462,0.2327066361904144,0.0,8.054900912934926e-10
hungary,va_long_beach,9,0.7305566521910778,0.23065823915894115,0.7305566521910778,0.2306582331657409,0.0,5.993200241638519e-09
switzerland,cleveland,0,0.7761010703632216,0.4098718149763721,0.7761010703632216,0.4098718166351318,0.0,1.6587596851636022e-09
switzerland,cleveland,1,0.787155641340586,0.4194538311012748,0.787155641340586,0.4194538295269012,0.0,1.5743736314632883e-09
switzerland,cleveland,2,0.7958852430250921,0.4064515136156391,0.7958852430250921,0.4064515233039856,0.0,9.688346513936352e-09
switzerland,cleveland,3,0.7710563256711703,0.4278936054905736,0.7710563256711703,0.4278936088085174,0.0,3.3179438085895185e-09
switzerland,cleveland,4,0.8254957010001754,0.38816777089230103,0.8254957010001754,0.3881677687168121,0.0,2.175488955646898e-09
switzerland,cleveland,5,0.814616599403404,0.41593600911510387,0.814616599403404,0.4159359931945801,0.0,1.5920523788182095e-08
switzerland,cleveland,6,0.7467538164590279,0.44475292907718056,0.7467538164590279,0.4447529017925262,0.0,2.7284654369186256e-08
switzerland,cleveland,7,0.8422091595016671,0.40402917272918887,0.8422091595016671,0.4040291607379913,0.0,1.199119759043299e-08
switzerland,cleveland,8,0.7854009475346552,0.39409728733115285,0.7854009475346552,0.3940972685813904,0.0,1.8749762464853603e-08
switzerland,cleveland,9,0.8050973855062291,0.4037350360353905,0.8050973855062291,0.4037350714206695,0.0,3.53852789847231e-08
switzerland,hungary,0,0.8480529907667603,0.4878593745809682,0.8480529907667603,0.4878593385219574,0.0,3.605901077730067e-08
switzerland,hungary,1,0.8602468887996788,0.4947354017303389,0.8602468887996788,0.4947354197502136,0.0,1.8019874703512073e-08
switzerland,hungary,2,0.8542252107587314,0.4789237260419433,0.8542252107587314,0.4789237082004547,0.0,1.7841488564318553e-08
switzerland,hungary,3,0.8518667201926937,0.4972126691794456,0.8518667201926937,0.497212678194046,0.0,9.014600399481765e-09
switzerland,hungary,4,0.8644620634283421,0.4802462963446884,0.8644620634283421,0.4802463054656982,0.0,9.121009780788114e-09
switzerland,hungary,5,0.8709855479727017,0.48099674696691186,0.8709855479727017,0.4809967279434204,0.0,1.9023491448777463e-08
switzerland,hungary,6,0.8468988358089122,0.5173057198918136,0.8468988358089122,0.5173057317733765,0.0,1.188156284470665e-08
switzerland,hungary,7,0.8804195102368527,0.48009782535293566,0.8804195102368527,0.4800978302955627,0.0,4.942627029880242e-09
switzerland,hungary,8,0.8597952629466078,0.47894487772288824,0.8597952629466078,0.4789448976516723,0.0,1.9928784067424488e-08
switzerland,hungary,9,0.8740465676435166,0.4921935756416157,0.8740465676435166,0.4921935796737671,0.0,4.032151390553906e-09
switzerland,va_long_beach,0,0.6546256086327148,0.21619039072511811,0.6546256086327148,0.2161903977394104,0.0,7.014292285889567e-09
switzerland,va_long_beach,1,0.6946308724832214,0.2111835220140037,0.6946308724832214,0.2111835330724716,0.0,1.1058467891400525e-08
switzerland,va_long_beach,2,0.6739702592446375,0.21696405770674743,0.6739702592446375,0.2169640511274337,0.0,6.5793137327130324e-09
switzerland,va_long_beach,3,0.7033162258191867,0.21662516668147802,0.7033162258191867,0.2166251689195633,0.0,2.2380852726655576e-09
switzerland,va_long_beach,4,0.6958152388472167,0.21267981083177145,0.6958152388472167,0.2126798033714294,0.0,7.460342066334391e-09
switzerland,va_long_beach,5,0.7106856165284906,0.2180365544411362,0.7106856165284906,0.2180365622043609,0.0,7.763224701973215e-09
switzerland,va_long_beach,6,0.7168706408737993,0.21446918002396587,0.7168706408737993,0.2144691795110702,0.0,5.128956703792653e-10
switzerland,va_long_beach,7,0.7285827082510856,0.2159267913414962,0.7285827082510856,0.2159268260002136,0.0,3.4658717396052197e-08
switzerland,va_long_beach,8,0.6859455191472563,0.21116254109597155,0.6859455191472563,0.2111625522375106,0.0,1.1141539052461624e-08
switzerland,va_long_beach,9,0.717660218449796,0.21645080012835852,0.717660218449796,0.216450810432434,0.0,1.0304075481748498e-08
va_long_beach,cleveland,0,0.8366818740129847,0.20145223633550058,0.8366818740129847,0.201452225446701,0.0,1.0888799584218845e-08
va_long_beach,cleveland,1,0.857738199684155,0.21006916527334393,0.857738199684155,0.2100691646337509,0.0,6.395930451930099e-10
va_long_beach,cleveland,2,0.8426478329531497,0.22104279985000025,0.8426478329531497,0.2210427969694137,0.0,2.880586547071573e-09
va_long_beach,cleveland,3,0.8178627829443763,0.23436331515513595,0.8178627829443763,0.234363317489624,0.0,2.3344880473175067e-09
va_long_beach,cleveland,4,0.8392700473767327,0.21838011109543728,0.8392700473767327,0.2183801084756851,0.0,2.6197521929560708e-09
va_long_beach,cleveland,5,0.8322951394981575,0.23159807888063955,0.8322951394981575,0.2315980792045593,0.0,3.239197521320847e-10
va_long_beach,cleveland,6,0.8461133532198631,0.21965411938346105,0.8461133532198631,0.2196541279554367,0.0,8.57197565706791e-09
va_long_beach,cleveland,7,0.8541849447271451,0.2215720927773802,0.8541849447271451,0.2215721011161804,0.0,8.338800205898167e-09
va_long_beach,cleveland,8,0.8563344446394104,0.20720889377895152,0.8563344446394104,0.2072088867425918,0.0,7.036359717105256e-09
va_long_beach,cleveland,9,0.8618178627829444,0.21768827489380713,0.8618178627829444,0.2176882773637771,0.0,2.469969978546871e-09
va_long_beach,hungary,0,0.8728422320353272,0.19363702906698477,0.8728422320353272,0.1936370283365249,0.0,7.304598592661193e-10
va_long_beach,hungary,1,0.8932155760738659,0.2109448750303868,0.8932155760738659,0.2109448760747909,0.0,1.0444040909884933e-09
va_long_beach,hungary,2,0.8753010839020474,0.2165149595311059,0.8753010839020474,0.2165149599313736,0.0,4.002677078673855e-10
va_long_beach,hungary,3,0.8575873143315936,0.21368784249054035,0.8575873143315936,0.213687852025032,0.0,9.534491640650344e-09
va_long_beach,hungary,4,0.8844841429144921,0.22022663538788737,0.8844841429144921,0.2202266305685043,0.0,4.819383059295745e-09
va_long_beach,hungary,5,0.8822260136491369,0.23406874335704492,0.8822260136491369,0.2340687364339828,0.0,6.923062123576074e-09
va_long_beach,hungary,6,0.8896025692492974,0.21235212068151768,0.8896025692492974,0.2123521119356155,0.0,8.745902169149389e-09
va_long_beach,hungary,7,0.8853372139702931,0.21943492026592692,0.8853372139702931,0.2194349318742752,0.0,1.160834828262125e-08
va_long_beach,hungary,8,0.8936672019269369,0.19511341126779594,0.8936672019269369,0.1951134204864502,0.0,9.21865425662638e-09
va_long_beach,hungary,9,0.8882476916900842,0.22672501845223633,0.8882476916900842,0.2267249971628189,0.0,2.1289417423409063e-08
va_long_beach,switzerland,0,0.7086956521739131,0.12184281957671728,0.7086956521739131,0.1218428164720535,0.0,3.1046637760656637e-09
va_long_beach,switzerland,1,0.716304347826087,0.10313411465975914,0.716304347826087,0.1031341105699539,0.0,4.089805230589327e-09
va_long_beach,switzerland,2,0.7184782608695652,0.12017083726786221,0.7184782608695652,0.1201708391308784,0.0,1.8630161996435746e-09
va_long_beach,switzerland,3,0.6967391304347826,0.1292238034567498,0.6967391304347826,0.1292238086462021,0.0,5.1894522845596924e-09
va_long_beach,switzerland,4,0.6891304347826088,0.1217561354195481,0.6891304347826088,0.1217561364173889,0.0,9.978407961019897e-10
va_long_beach,switzerland,5,0.6989130434782609,0.11496375772693868,0.6989130434782609,0.1149637624621391,0.0,4.7352004262091185e-09
va_long_beach,switzerland,6,0.682608695652174,0.11863132860946671,0.682608695652174,0.1186313331127166,0.0,4.503249897980233e-09
va_long_beach,switzerland,7,0.7010869565217391,0.11691752128417729,0.7010869565217391,0.1169175207614898,0.0,5.22687490511764e-10
va_long_beach,switzerland,8,0.7108695652173913,0.11658934285462963,0.7108695652173913,0.1165893450379371,0.0,2.183307465375428e-09
va_long_beach,switzerland,9,0.7271739130434782,0.11146880624719116,0.7271739130434782,0.1114688068628311,0.0,6.156399418033587e-10
