source,target,direction,method,method_label,n_seeds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate
hungary,va_long_beach,Hungary -> VA Long Beach,reliability_gated_sfda,Reliability-gated,10,0.656 ± 0.014,0.684 ± 0.010,0.876 ± 0.006,0.626 ± 0.021,0.741 ± 0.015,0.730 ± 0.015,0.321 ± 0.017,0.742 ± 0.005,0.887 ± 0.002,0.227 ± 0.008,0.209 ± 0.012,0.532 ± 0.018
hungary,va_long_beach,Hungary -> VA Long Beach,source_only,Source-only,10,0.656 ± 0.014,0.684 ± 0.010,0.876 ± 0.006,0.626 ± 0.021,0.741 ± 0.015,0.730 ± 0.015,0.321 ± 0.017,0.742 ± 0.005,0.887 ± 0.002,0.224 ± 0.008,0.204 ± 0.013,0.532 ± 0.018
switzerland,cleveland,Switzerland -> Cleveland,conservative_candidate,Conservative,10,0.459 ± 0.000,0.500 ± 0.000,0.459 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.629 ± 0.000,0.000 ± 0.000,0.795 ± 0.028,0.775 ± 0.036,0.411 ± 0.016,0.436 ± 0.013,1.000 ± 0.000
switzerland,cleveland,Switzerland -> Cleveland,entropy_sfda,Entropy,10,0.459 ± 0.000,0.500 ± 0.000,0.459 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.629 ± 0.000,0.000 ± 0.000,0.792 ± 0.029,0.777 ± 0.036,0.467 ± 0.013,0.485 ± 0.010,1.000 ± 0.000
switzerland,cleveland,Switzerland -> Cleveland,pseudo_label_sfda,Pseudo-label,10,0.459 ± 0.000,0.500 ± 0.000,0.459 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.629 ± 0.000,0.000 ± 0.000,0.798 ± 0.028,0.779 ± 0.036,0.467 ± 0.018,0.487 ± 0.013,1.000 ± 0.000
switzerland,cleveland,Switzerland -> Cleveland,reliability_gated_sfda,Reliability-gated,10,0.459 ± 0.000,0.500 ± 0.000,0.459 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.629 ± 0.000,0.000 ± 0.000,0.795 ± 0.028,0.775 ± 0.036,0.411 ± 0.016,0.436 ± 0.013,1.000 ± 0.000
switzerland,cleveland,Switzerland -> Cleveland,source_only,Source-only,10,0.459 ± 0.000,0.500 ± 0.000,0.459 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.629 ± 0.000,0.000 ± 0.000,0.795 ± 0.028,0.775 ± 0.036,0.411 ± 0.016,0.436 ± 0.013,1.000 ± 0.000
switzerland,hungary,Switzerland -> Hungary,conservative_candidate,Conservative,10,0.361 ± 0.000,0.500 ± 0.000,0.361 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.000,0.000 ± 0.000,0.861 ± 0.011,0.769 ± 0.029,0.489 ± 0.012,0.538 ± 0.008,1.000 ± 0.000
switzerland,hungary,Switzerland -> Hungary,entropy_sfda,Entropy,10,0.361 ± 0.000,0.500 ± 0.000,0.361 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.000,0.000 ± 0.000,0.852 ± 0.018,0.754 ± 0.041,0.558 ± 0.012,0.588 ± 0.008,1.000 ± 0.000
switzerland,hungary,Switzerland -> Hungary,pseudo_label_sfda,Pseudo-label,10,0.361 ± 0.000,0.500 ± 0.000,0.361 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.000,0.000 ± 0.000,0.860 ± 0.016,0.771 ± 0.034,0.555 ± 0.015,0.587 ± 0.009,1.000 ± 0.000
switzerland,hungary,Switzerland -> Hungary,reliability_gated_sfda,Reliability-gated,10,0.361 ± 0.000,0.500 ± 0.000,0.361 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.000,0.000 ± 0.000,0.861 ± 0.011,0.769 ± 0.029,0.489 ± 0.012,0.538 ± 0.008,1.000 ± 0.000
switzerland,hungary,Switzerland -> Hungary,source_only,Source-only,10,0.361 ± 0.000,0.500 ± 0.000,0.361 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.530 ± 0.000,0.000 ± 0.000,0.861 ± 0.011,0.769 ± 0.029,0.489 ± 0.012,0.538 ± 0.008,1.000 ± 0.000
switzerland,va_long_beach,Switzerland -> VA Long Beach,conservative_candidate,Conservative,10,0.745 ± 0.000,0.500 ± 0.000,0.745 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.854 ± 0.000,0.000 ± 0.000,0.698 ± 0.022,0.855 ± 0.014,0.215 ± 0.002,0.190 ± 0.005,1.000 ± 0.000
switzerland,va_long_beach,Switzerland -> VA Long Beach,entropy_sfda,Entropy,10,0.745 ± 0.000,0.500 ± 0.000,0.745 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.854 ± 0.000,0.000 ± 0.000,0.708 ± 0.020,0.860 ± 0.012,0.226 ± 0.002,0.212 ± 0.003,1.000 ± 0.000
switzerland,va_long_beach,Switzerland -> VA Long Beach,pseudo_label_sfda,Pseudo-label,10,0.745 ± 0.000,0.500 ± 0.000,0.745 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.854 ± 0.000,0.000 ± 0.000,0.711 ± 0.020,0.862 ± 0.011,0.233 ± 0.002,0.224 ± 0.003,1.000 ± 0.000
switzerland,va_long_beach,Switzerland -> VA Long Beach,reliability_gated_sfda,Reliability-gated,10,0.745 ± 0.000,0.500 ± 0.000,0.745 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.854 ± 0.000,0.000 ± 0.000,0.698 ± 0.022,0.855 ± 0.014,0.215 ± 0.002,0.190 ± 0.005,1.000 ± 0.000
switzerland,va_long_beach,Switzerland -> VA Long Beach,source_only,Source-only,10,0.745 ± 0.000,0.500 ± 0.000,0.745 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.854 ± 0.000,0.000 ± 0.000,0.698 ± 0.022,0.855 ± 0.014,0.215 ± 0.002,0.190 ± 0.005,1.000 ± 0.000
va_long_beach,cleveland,VA Long Beach -> Cleveland,conservative_candidate,Conservative,10,0.599 ± 0.077,0.627 ± 0.069,0.541 ± 0.052,0.962 ± 0.034,0.291 ± 0.165,0.690 ± 0.036,0.330 ± 0.110,0.844 ± 0.014,0.834 ± 0.012,0.218 ± 0.010,0.205 ± 0.020,0.825 ± 0.103
va_long_beach,cleveland,VA Long Beach -> Cleveland,entropy_sfda,Entropy,10,0.476 ± 0.036,0.516 ± 0.033,0.468 ± 0.019,0.996 ± 0.011,0.036 ± 0.077,0.636 ± 0.015,0.064 ± 0.101,0.841 ± 0.013,0.830 ± 0.015,0.270 ± 0.016,0.286 ± 0.022,0.979 ± 0.046
va_long_beach,cleveland,VA Long Beach -> Cleveland,pseudo_label_sfda,Pseudo-label,10,0.586 ± 0.072,0.615 ± 0.064,0.531 ± 0.047,0.964 ± 0.032,0.265 ± 0.155,0.683 ± 0.032,0.308 ± 0.107,0.844 ± 0.013,0.834 ± 0.012,0.221 ± 0.010,0.211 ± 0.021,0.840 ± 0.097
va_long_beach,cleveland,VA Long Beach -> Cleveland,reliability_gated_sfda,Reliability-gated,10,0.599 ± 0.076,0.627 ± 0.068,0.541 ± 0.051,0.962 ± 0.034,0.292 ± 0.163,0.690 ± 0.035,0.331 ± 0.108,0.845 ± 0.013,0.834 ± 0.012,0.218 ± 0.011,0.206 ± 0.020,0.824 ± 0.102
va_long_beach,cleveland,VA Long Beach -> Cleveland,source_only,Source-only,10,0.598 ± 0.073,0.626 ± 0.066,0.540 ± 0.049,0.961 ± 0.033,0.291 ± 0.158,0.689 ± 0.034,0.329 ± 0.105,0.844 ± 0.014,0.834 ± 0.012,0.218 ± 0.010,0.207 ± 0.020,0.825 ± 0.098
va_long_beach,hungary,VA Long Beach -> Hungary,conservative_candidate,Conservative,10,0.644 ± 0.130,0.709 ± 0.095,0.521 ± 0.087,0.944 ± 0.039,0.474 ± 0.222,0.666 ± 0.067,0.433 ± 0.149,0.882 ± 0.011,0.821 ± 0.015,0.214 ± 0.013,0.248 ± 0.020,0.677 ± 0.154
va_long_beach,hungary,VA Long Beach -> Hungary,entropy_sfda,Entropy,10,0.460 ± 0.121,0.575 ± 0.091,0.408 ± 0.066,0.990 ± 0.017,0.161 ± 0.199,0.575 ± 0.058,0.196 ± 0.178,0.889 ± 0.007,0.829 ± 0.014,0.257 ± 0.021,0.315 ± 0.029,0.894 ± 0.133
va_long_beach,hungary,VA Long Beach -> Hungary,pseudo_label_sfda,Pseudo-label,10,0.639 ± 0.125,0.706 ± 0.091,0.515 ± 0.081,0.946 ± 0.038,0.466 ± 0.213,0.662 ± 0.064,0.427 ± 0.142,0.883 ± 0.012,0.823 ± 0.016,0.215 ± 0.012,0.250 ± 0.020,0.683 ± 0.148
va_long_beach,hungary,VA Long Beach -> Hungary,reliability_gated_sfda,Reliability-gated,10,0.643 ± 0.128,0.709 ± 0.094,0.520 ± 0.086,0.945 ± 0.040,0.473 ± 0.219,0.665 ± 0.067,0.433 ± 0.147,0.883 ± 0.011,0.822 ± 0.015,0.214 ± 0.013,0.248 ± 0.022,0.678 ± 0.152
va_long_beach,hungary,VA Long Beach -> Hungary,source_only,Source-only,10,0.646 ± 0.122,0.711 ± 0.089,0.520 ± 0.081,0.945 ± 0.039,0.477 ± 0.209,0.666 ± 0.063,0.436 ± 0.136,0.882 ± 0.011,0.822 ± 0.015,0.214 ± 0.013,0.248 ± 0.019,0.676 ± 0.146
va_long_beach,switzerland,VA Long Beach -> Switzerland,conservative_candidate,Conservative,10,0.906 ± 0.034,0.653 ± 0.091,0.956 ± 0.012,0.943 ± 0.044,0.362 ± 0.208,0.949 ± 0.019,0.290 ± 0.159,0.705 ± 0.014,0.966 ± 0.004,0.118 ± 0.007,0.232 ± 0.009,0.924 ± 0.051
va_long_beach,switzerland,VA Long Beach -> Switzerland,entropy_sfda,Entropy,10,0.928 ± 0.024,0.595 ± 0.093,0.947 ± 0.012,0.977 ± 0.028,0.212 ± 0.196,0.962 ± 0.013,0.243 ± 0.237,0.710 ± 0.014,0.966 ± 0.004,0.098 ± 0.007,0.194 ± 0.014,0.965 ± 0.034
va_long_beach,switzerland,VA Long Beach -> Switzerland,pseudo_label_sfda,Pseudo-label,10,0.906 ± 0.034,0.653 ± 0.091,0.956 ± 0.012,0.943 ± 0.044,0.362 ± 0.208,0.949 ± 0.019,0.290 ± 0.159,0.705 ± 0.014,0.966 ± 0.004,0.117 ± 0.007,0.232 ± 0.009,0.924 ± 0.051
va_long_beach,switzerland,VA Long Beach -> Switzerland,reliability_gated_sfda,Reliability-gated,10,0.906 ± 0.034,0.653 ± 0.091,0.956 ± 0.012,0.943 ± 0.044,0.362 ± 0.208,0.949 ± 0.019,0.290 ± 0.159,0.705 ± 0.014,0.966 ± 0.004,0.117 ± 0.007,0.231 ± 0.008,0.924 ± 0.051
va_long_beach,switzerland,VA Long Beach -> Switzerland,source_only,Source-only,10,0.906 ± 0.034,0.653 ± 0.091,0.956 ± 0.012,0.943 ± 0.044,0.362 ± 0.208,0.949 ± 0.019,0.290 ± 0.159,0.705 ± 0.014,0.966 ± 0.004,0.117 ± 0.007,0.232 ± 0.009,0.924 ± 0.051
