architecture,source,target,direction,seed,method,method_label,n,prevalence,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate,mean_probability,tn,fp,fn,tp
dual_head,cleveland,switzerland,Cleveland -> Switzerland,2,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7445652173913044,0.9787073658603191,0.18675910999966142,0.3136444790213089,0.7073170731707317,0.6222472267785693,4,4,32,83
dual_head,cleveland,switzerland,Cleveland -> Switzerland,2,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.741304347826087,0.9783282885613238,0.1913289751083032,0.31573788961017035,0.7073170731707317,0.6200591062263745,4,4,32,83
dual_head,cleveland,switzerland,Cleveland -> Switzerland,3,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.6991869918699187,0.6065217391304347,0.9534883720930233,0.7130434782608696,0.5,0.8159203980099502,0.11455447782900419,0.7467391304347826,0.9783776467554138,0.1706950395420229,0.2812067467749603,0.6991869918699187,0.6537526028185356,4,4,33,82
dual_head,cleveland,switzerland,Cleveland -> Switzerland,3,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7073170731707317,0.6690217391304347,0.9647058823529412,0.7130434782608696,0.625,0.82,0.18041191408209392,0.7456521739130435,0.978290008603605,0.17298365164521617,0.28097702792989526,0.6910569105691057,0.6539823216636006,5,3,33,82
dual_head,cleveland,switzerland,Cleveland -> Switzerland,4,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.6910569105691057,0.6603260869565217,0.963855421686747,0.6956521739130435,0.625,0.8080808080808081,0.1687947988766704,0.75,0.9791919201770631,0.17512278476582513,0.29003355864102276,0.6747967479674797,0.6479161816641568,5,3,35,80
dual_head,cleveland,switzerland,Cleveland -> Switzerland,4,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.6829268292682927,0.6559782608695652,0.9634146341463414,0.6869565217391305,0.625,0.8020304568527918,0.1631883414420549,0.7489130434782608,0.979049368502081,0.176564148885997,0.2889564747248239,0.6666666666666666,0.6488925371228195,5,3,36,79
dual_head,cleveland,switzerland,Cleveland -> Switzerland,5,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7282608695652174,0.9764891595240046,0.1686537995627958,0.2993329609554958,0.7073170731707317,0.6356263886380001,4,4,32,83
dual_head,cleveland,switzerland,Cleveland -> Switzerland,5,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7073170731707317,0.6108695652173913,0.9540229885057471,0.7217391304347827,0.5,0.8217821782178217,0.1201781120283334,0.7293478260869566,0.9766271127578583,0.16936390604683021,0.2982844712772989,0.7073170731707317,0.636674878316197,4,4,32,83
dual_head,cleveland,switzerland,Cleveland -> Switzerland,6,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7073170731707317,0.5527173913043478,0.9438202247191011,0.7304347826086957,0.375,0.8235294117647058,0.05813576059502011,0.7434782608695653,0.9776329602351171,0.18563179055890908,0.34096272544163037,0.7235772357723578,0.5960593882615004,3,5,31,84
dual_head,cleveland,switzerland,Cleveland -> Switzerland,6,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7073170731707317,0.5527173913043478,0.9438202247191011,0.7304347826086957,0.375,0.8235294117647058,0.05813576059502011,0.7423913043478261,0.9772837447125458,0.18616945605116292,0.3395886837951536,0.7235772357723578,0.5973069529707838,3,5,31,84
