architecture,source,target,direction,method,method_label,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,ece10_mean,ece10_std,predicted_positive_rate_mean,predicted_positive_rate_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_seeds
dual_head,hungary,va_long_beach,Hungary -> VA Long Beach,dlar_lcl,DLAR-LCL,0.6475000000000001,0.020172864061517026,0.6776615344124226,0.014288969804669012,0.8738254882244381,0.012022235568366966,0.6161073825503356,0.034045659740039,0.7392156862745097,0.03703062869075893,0.7220674214815948,0.02276619461435338,0.3107148788557412,0.024623520819273548,0.7350046058691933,0.007929286066410628,0.8849273220253243,0.0034436250026183696,0.22480006536808492,0.012077018125720365,0.2181867248117924,0.02737857312447693,0.5255,0.0325277659170678,37.7,1.8885620632287052,13.3,1.8885620632287057,57.2,5.072803301265814,91.8,5.072803301265812,10
dual_head,hungary,va_long_beach,Hungary -> VA Long Beach,dual_head_source_only,Dual-head source-only,0.6495,0.019213710382606157,0.6783589946045533,0.012655993050508402,0.8736536122479368,0.011545380410251665,0.6194630872483222,0.033935229154785244,0.7372549019607844,0.037203266590216236,0.7242901990077705,0.022195467109399007,0.3120580531957981,0.02178412562452259,0.7347677325963942,0.007975790271223028,0.8848843652698845,0.0033197511346746136,0.22264232998598668,0.012284110618508598,0.21650947394967082,0.027476696001620723,0.5285,0.03300252515591293,37.6,1.8973665961010278,13.4,1.8973665961010275,56.7,5.056349144063003,92.3,5.056349144063003,10
dual_head,switzerland,cleveland,Switzerland -> Cleveland,dlar_lcl,DLAR-LCL,0.45874587458745875,0.0,0.5,0.0,0.45874587458745875,0.0,1.0,0.0,0.0,0.0,0.6289592760180995,0.0,0.0,0.0,0.5617893490085979,0.1798173027192064,0.5581666423409849,0.16223468431076263,0.29980630804718,0.029376647442753884,0.23644724570878664,0.060090576325474106,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,139.0,0.0,10
dual_head,switzerland,cleveland,Switzerland -> Cleveland,dual_head_source_only,Dual-head source-only,0.45874587458745875,0.0,0.5,0.0,0.45874587458745875,0.0,1.0,0.0,0.0,0.0,0.6289592760180995,0.0,0.0,0.0,0.563019828040007,0.17433586498208462,0.5577836165082632,0.15769198238689325,0.30005139409925624,0.029160213526721615,0.23604967847909078,0.05912206818550375,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,139.0,0.0,10
dual_head,switzerland,hungary,Switzerland -> Hungary,dlar_lcl,DLAR-LCL,0.36054421768707484,0.0,0.5,0.0,0.36054421768707484,0.0,1.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.6367171818546769,0.1842328105330299,0.5346440579919893,0.18825712441642356,0.33207913624228724,0.03828694517662896,0.33200512051987807,0.0561739338995427,1.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,106.0,0.0,10
dual_head,switzerland,hungary,Switzerland -> Hungary,dual_head_source_only,Dual-head source-only,0.36054421768707484,0.0,0.5,0.0,0.36054421768707484,0.0,1.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.6392939582496989,0.17801093111324254,0.5349520059280705,0.18213205135278102,0.33230317364260575,0.03846660271205731,0.33143879201541954,0.0567788533605846,1.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,106.0,0.0,10
dual_head,switzerland,va_long_beach,Switzerland -> VA Long Beach,dlar_lcl,DLAR-LCL,0.745,0.0,0.5,0.0,0.745,0.0,1.0,0.0,0.0,0.0,0.8538681948424068,0.0,0.0,0.0,0.6149230161863404,0.07800278477992274,0.81649643144756,0.05231869112067456,0.19303118963752922,0.008919345687095405,0.08378412202000618,0.035630324514718884,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,149.0,0.0,10
dual_head,switzerland,va_long_beach,Switzerland -> VA Long Beach,dual_head_source_only,Dual-head source-only,0.745,0.0,0.5,0.0,0.745,0.0,1.0,0.0,0.0,0.0,0.8538681948424068,0.0,0.0,0.0,0.6136333728122121,0.0769430555184446,0.8159015746490542,0.051456167771727075,0.19328650935760963,0.008940003609242466,0.08213738006353377,0.036268410537499775,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,149.0,0.0,10
dual_head,va_long_beach,cleveland,VA Long Beach -> Cleveland,dlar_lcl,DLAR-LCL,0.45874587458745875,0.0,0.5,0.0,0.45874587458745875,0.0,1.0,0.0,0.0,0.0,0.6289592760180995,0.0,0.0,0.0,0.798170731707317,0.03726780163304626,0.7778271293497455,0.05103382017443715,0.2720683105336919,0.015494058873558782,0.252405057055722,0.011191479456665654,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,139.0,0.0,10
dual_head,va_long_beach,cleveland,VA Long Beach -> Cleveland,dual_head_source_only,Dual-head source-only,0.45874587458745875,0.0,0.5,0.0,0.45874587458745875,0.0,1.0,0.0,0.0,0.0,0.6289592760180995,0.0,0.0,0.0,0.7958545358834883,0.0381123173244383,0.7757653755079912,0.051609629228645676,0.2735722327053288,0.015674469985761243,0.2522240123733042,0.011183571698097135,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,139.0,0.0,10
dual_head,va_long_beach,hungary,VA Long Beach -> Hungary,dlar_lcl,DLAR-LCL,0.36054421768707484,0.0,0.5,0.0,0.36054421768707484,0.0,1.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.8545513849859494,0.033746811734237984,0.7861974631024287,0.051406282318732205,0.2905541304859819,0.01851043289445178,0.3309076347521373,0.012408961471491804,1.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,106.0,0.0,10
dual_head,va_long_beach,hungary,VA Long Beach -> Hungary,dual_head_source_only,Dual-head source-only,0.36054421768707484,0.0,0.5,0.0,0.36054421768707484,0.0,1.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.8535226816539542,0.03440772374055264,0.7852331911714134,0.052306322334232803,0.2921658908890803,0.01848139884062674,0.33162095792034046,0.011364061320684777,1.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,106.0,0.0,10
dual_head,va_long_beach,switzerland,VA Long Beach -> Switzerland,dlar_lcl,DLAR-LCL,0.9349593495934959,0.0,0.5,0.0,0.9349593495934959,0.0,1.0,0.0,0.0,0.0,0.9663865546218486,0.0,0.0,0.0,0.6954347826086956,0.03829214795272025,0.964261743930722,0.00845529496746689,0.11016217281133012,0.013013102817514763,0.2245142171053382,0.02648657560681094,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,115.0,0.0,10
dual_head,va_long_beach,switzerland,VA Long Beach -> Switzerland,dual_head_source_only,Dual-head source-only,0.9349593495934959,0.0,0.5,0.0,0.9349593495934959,0.0,1.0,0.0,0.0,0.0,0.9663865546218486,0.0,0.0,0.0,0.6954347826086956,0.0391867549605122,0.9639021142076297,0.00868511665269826,0.11052223284051692,0.01308131408135907,0.22476067538183883,0.026741254314917782,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,115.0,0.0,10
