source,target,direction,method,method_label,n_seeds,tn,fp,fn,tp
switzerland,va_long_beach,Switzerland -> VA Long Beach,source_only,Source-only,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
va_long_beach,cleveland,VA Long Beach -> Cleveland,conservative_candidate,Conservative,10,47.8 ± 27.1,116.2 ± 27.1,5.3 ± 4.7,133.7 ± 4.7
va_long_beach,cleveland,VA Long Beach -> Cleveland,entropy_sfda,Entropy,10,5.9 ± 12.5,158.1 ± 12.5,0.6 ± 1.6,138.4 ± 1.6
va_long_beach,cleveland,VA Long Beach -> Cleveland,pseudo_label_sfda,Pseudo-label,10,43.5 ± 25.4,120.5 ± 25.4,5.0 ± 4.5,134.0 ± 4.5
va_long_beach,cleveland,VA Long Beach -> Cleveland,reliability_gated_sfda,Reliability-gated,10,47.9 ± 26.7,116.1 ± 26.7,5.3 ± 4.7,133.7 ± 4.7
va_long_beach,cleveland,VA Long Beach -> Cleveland,source_only,Source-only,10,47.7 ± 25.8,116.3 ± 25.8,5.4 ± 4.6,133.6 ± 4.6
va_long_beach,hungary,VA Long Beach -> Hungary,conservative_candidate,Conservative,10,89.2 ± 41.8,98.8 ± 41.8,5.9 ± 4.1,100.1 ± 4.1
va_long_beach,hungary,VA Long Beach -> Hungary,entropy_sfda,Entropy,10,30.2 ± 37.3,157.8 ± 37.3,1.1 ± 1.9,104.9 ± 1.9
va_long_beach,hungary,VA Long Beach -> Hungary,pseudo_label_sfda,Pseudo-label,10,87.6 ± 40.1,100.4 ± 40.1,5.7 ± 4.0,100.3 ± 4.0
va_long_beach,hungary,VA Long Beach -> Hungary,reliability_gated_sfda,Reliability-gated,10,88.9 ± 41.2,99.1 ± 41.2,5.8 ± 4.2,100.2 ± 4.2
va_long_beach,hungary,VA Long Beach -> Hungary,source_only,Source-only,10,89.6 ± 39.3,98.4 ± 39.3,5.8 ± 4.1,100.2 ± 4.1
va_long_beach,switzerland,VA Long Beach -> Switzerland,conservative_candidate,Conservative,10,2.9 ± 1.7,5.1 ± 1.7,6.5 ± 5.0,108.5 ± 5.0
va_long_beach,switzerland,VA Long Beach -> Switzerland,entropy_sfda,Entropy,10,1.7 ± 1.6,6.3 ± 1.6,2.6 ± 3.3,112.4 ± 3.3
va_long_beach,switzerland,VA Long Beach -> Switzerland,pseudo_label_sfda,Pseudo-label,10,2.9 ± 1.7,5.1 ± 1.7,6.5 ± 5.0,108.5 ± 5.0
va_long_beach,switzerland,VA Long Beach -> Switzerland,reliability_gated_sfda,Reliability-gated,10,2.9 ± 1.7,5.1 ± 1.7,6.5 ± 5.0,108.5 ± 5.0
va_long_beach,switzerland,VA Long Beach -> Switzerland,source_only,Source-only,10,2.9 ± 1.7,5.1 ± 1.7,6.5 ± 5.0,108.5 ± 5.0
